iteration,steps,env_steps,internal_ticks,score_red
1,119,119,600,72.0
2,76,76,600,84.0
3,86,86,600,90.0
4,93,93,600,84.0
5,107,107,600,78.0
6,86,86,600,69.0
7,133,133,600,90.0
8,132,132,600,60.0
9,97,97,600,90.0
10,493,493,600,24.0
11,117,117,600,75.0
12,91,91,600,72.0
13,113,113,600,69.0
14,82,82,600,87.0
15,102,102,600,90.0
16,146,146,600,87.0
17,68,68,600,84.0
18,91,91,600,93.0
19,76,76,601,69.0
20,95,95,600,90.0
21,63,63,600,87.0
22,83,83,600,72.0
23,169,169,600,78.0
24,91,91,600,90.0
25,106,106,600,75.0
26,439,439,600,18.0
27,113,113,600,75.0
28,142,142,600,84.0
29,89,89,600,81.0
30,68,68,600,62.0
31,97,97,600,75.0
32,88,88,600,87.0
33,92,92,601,93.0
34,94,94,600,75.0
35,70,70,600,66.0
36,91,91,600,63.0
37,114,114,600,81.0
38,95,95,600,90.0
39,143,143,600,78.0
40,81,81,600,87.0
41,78,78,600,84.0
42,99,99,600,81.0
43,87,87,600,81.0
44,132,132,600,78.0
45,97,97,600,75.0
46,95,95,600,66.0
47,91,91,601,69.0
48,94,94,600,93.0
49,99,99,600,81.0
50,89,89,600,84.0
51,135,135,600,90.0
52,128,128,600,84.0
53,86,86,600,86.0
54,107,107,600,78.0
55,107,107,600,75.0
56,114,114,600,78.0
57,115,115,600,84.0
58,245,245,601,51.0
59,132,132,600,87.0
60,119,119,600,78.0
61,107,107,600,87.0
62,124,124,600,63.0
63,78,78,600,69.0
64,95,95,600,84.0
65,85,85,600,81.0
66,111,111,600,87.0
67,80,80,600,92.0
68,83,83,600,87.0
69,115,115,600,93.0
70,88,88,600,80.0
71,130,130,600,81.0
72,112,112,600,66.0
73,97,97,600,72.0
74,87,87,600,87.0
75,77,77,601,102.0
76,97,97,600,90.0
77,91,91,601,81.0
78,124,124,600,83.0
79,95,95,600,75.0
80,106,106,601,69.0
81,86,86,600,84.0
82,82,82,600,69.0
83,87,87,600,75.0
84,119,119,600,93.0
85,86,86,600,96.0
86,96,96,600,75.0
87,387,387,600,51.0
88,95,95,600,45.0
89,169,169,600,78.0
90,82,82,600,72.0
91,122,122,600,75.0
92,99,99,600,96.0
93,340,340,600,54.0
94,77,77,600,75.0
95,94,94,600,90.0
96,129,129,600,75.0
97,87,87,600,75.0
98,77,77,600,90.0
99,407,407,600,45.0
100,160,160,600,81.0
101,159,159,600,69.0
102,81,81,601,84.0
103,121,121,600,84.0
104,91,91,600,78.0
105,82,82,601,90.0
106,100,100,600,72.0
107,116,116,600,69.0
108,84,84,600,84.0
109,122,122,600,90.0
110,73,73,600,93.0
111,155,155,600,90.0
112,108,108,601,87.0
113,108,108,601,84.0
114,154,154,601,87.0
115,80,80,600,75.0
116,109,109,600,75.0
117,101,101,600,90.0
118,99,99,600,87.0
119,137,137,600,90.0
120,515,515,600,27.0
121,101,101,600,87.0
122,103,103,600,87.0
123,103,103,600,78.0
124,129,129,600,93.0
125,103,103,600,84.0
126,84,84,600,84.0
127,93,93,600,87.0
128,413,413,600,48.0
129,113,113,600,77.0
130,125,125,600,75.0
131,83,83,600,93.0
132,101,101,600,93.0
133,139,139,600,57.0
134,61,61,600,69.0
135,171,171,600,78.0
136,68,68,600,69.0
137,481,481,600,24.0
138,83,83,600,63.0
139,263,263,600,63.0
140,180,180,600,93.0
141,111,111,600,93.0
142,231,231,601,45.0
143,115,115,600,90.0
144,430,430,600,33.0
145,133,133,600,87.0
146,151,151,600,90.0
147,107,107,600,81.0
148,95,95,600,59.0
149,79,79,600,72.0
150,114,114,600,87.0
151,125,125,600,78.0
152,146,146,600,92.0
153,91,91,600,81.0
154,97,97,600,66.0
155,79,79,600,63.0
156,132,132,600,99.0
157,102,102,600,78.0
158,120,120,600,81.0
159,84,84,600,87.0
160,107,107,600,84.0
161,109,109,600,87.0
162,107,107,600,72.0
163,121,121,600,90.0
164,130,130,600,93.0
165,112,112,600,78.0
166,176,176,600,75.0
167,84,84,600,60.0
168,99,99,600,81.0
169,120,120,601,81.0
170,85,85,600,90.0
171,112,112,600,84.0
172,133,133,600,84.0
173,88,88,600,78.0
174,69,69,600,90.0
175,144,144,600,78.0
176,116,116,600,75.0
177,88,88,600,99.0
178,137,137,600,74.0
179,98,98,600,87.0
180,124,124,600,89.0
181,415,415,600,24.0
182,160,160,600,87.0
183,90,90,600,84.0
184,93,93,600,84.0
185,98,98,600,89.0
186,84,84,600,54.0
187,102,102,601,84.0
188,94,94,600,81.0
189,96,96,601,84.0
190,76,76,600,87.0
191,120,120,600,81.0
192,80,80,600,69.0
193,99,99,601,63.0
194,102,102,600,87.0
195,82,82,600,69.0
196,97,97,600,66.0
197,108,108,600,78.0
198,93,93,600,87.0
199,122,122,600,81.0
200,93,93,600,93.0
201,121,121,600,72.0
202,139,139,601,72.0
203,117,117,600,81.0
204,119,119,601,87.0
205,92,92,600,81.0
206,115,115,600,90.0
207,100,100,600,84.0
208,87,87,600,87.0
209,119,119,600,81.0
210,121,121,600,66.0
211,109,109,600,72.0
212,104,104,600,57.0
213,159,159,600,60.0
214,126,126,600,69.0
215,97,97,600,81.0
216,84,84,600,84.0
217,369,369,600,45.0
218,114,114,600,87.0
219,90,90,600,90.0
220,93,93,600,93.0
221,96,96,601,75.0
222,92,92,600,92.0
223,139,139,600,87.0
224,130,130,600,84.0
225,88,88,600,90.0
226,94,94,600,66.0
227,337,337,600,54.0
228,96,96,600,84.0
229,90,90,600,68.0
230,117,117,601,78.0
231,107,107,601,96.0
232,105,105,600,78.0
233,202,202,600,78.0
234,91,91,600,78.0
235,69,69,600,92.0
236,121,121,600,90.0
237,136,136,600,75.0
238,122,122,600,78.0
239,82,82,600,66.0
240,161,161,600,81.0
241,107,107,600,95.0
242,84,84,600,75.0
243,131,131,600,75.0
244,103,103,600,75.0
245,98,98,600,95.0
