iteration,steps,env_steps,internal_ticks,avg_inference_ms,score_red
1,85,85,600,0.36728253795040977,84.0
2,72,72,600,0.27635264651555763,51.0
3,81,81,601,0.28375089168548584,72.0
4,70,70,600,0.2802587114274502,36.0
5,118,118,600,0.2778638306944097,30.0
6,171,171,600,0.27843568649591577,39.0
7,86,86,600,0.2881676849463711,57.0
8,77,77,601,0.2809579794605573,54.0
9,69,69,600,0.2773188320653779,48.0
10,81,81,600,0.29328489566550536,39.0
11,76,76,600,0.2827587803559644,45.0
12,72,72,600,0.28327775790410886,51.0
13,85,85,600,0.28500768743204263,66.0
14,80,80,600,0.28392434658774407,60.0
15,169,169,600,0.28271336640630446,30.0
16,120,120,600,0.281612210742691,63.0
17,95,95,600,0.27726899868654975,54.0
18,199,199,600,0.27065795253623615,38.0
19,187,187,600,0.27146048354681096,36.0
20,82,82,600,0.27554516087878833,48.0
21,80,80,600,0.275483893522297,33.0
22,114,114,600,0.2811518116075485,63.0
23,65,65,600,0.2830491929843619,54.0
24,116,116,600,0.27498418141987696,48.0
25,78,78,600,0.2768213400639683,51.0
26,77,77,600,0.27500086168690424,45.0
27,81,81,600,0.27367600313063417,72.0
28,83,83,600,0.2749210501881852,48.0
29,67,67,600,0.2772768630700953,54.0
30,95,95,600,0.2790178001231077,42.0
31,77,77,600,0.2756724016198629,51.0
32,72,72,600,0.284748375415802,69.0
33,83,83,601,0.27949608078128413,60.0
34,83,83,600,0.2773124510529398,69.0
35,87,87,600,0.27438729173607296,45.0
36,68,68,600,0.27523901210063034,54.0
37,77,77,600,0.27574642739269173,45.0
38,149,149,600,0.27152324247660126,33.0
39,78,78,600,0.27617913143462447,63.0
40,76,76,600,0.2752220097147388,33.0
41,74,74,600,0.2752967275582351,54.0
42,167,167,600,0.2712130771724732,42.0
43,72,72,600,0.27498137205839157,75.0
44,157,157,600,0.2768340231905207,44.0
45,78,78,600,0.27854446635906954,54.0
46,81,81,600,0.2747426069406576,48.0
47,92,92,600,0.27413859817327235,66.0
48,101,101,600,0.2744334497462923,72.0
49,150,150,600,0.27307114693560175,42.0
50,76,76,600,0.2759525237919448,57.0
51,170,170,600,0.2710193655984376,50.0
52,94,94,600,0.2758582597788499,48.0
53,95,95,600,0.27442434612585576,54.0
54,80,80,600,0.2762218720691149,69.0
55,136,136,600,0.27833302216283207,24.0
56,88,88,600,0.2756878365199645,39.0
57,176,176,600,0.27135732982839855,51.0
58,86,86,600,0.27412278475342217,45.0
59,72,72,600,0.2761320521434148,51.0
60,104,104,600,0.2742989139782416,42.0
61,174,174,600,0.2714906693310351,36.0
62,104,104,600,0.2746647223830223,63.0
63,83,83,600,0.2764533220351428,68.0
64,78,78,600,0.27461822610348463,63.0
65,97,97,600,0.28162917972189705,24.0
66,92,92,600,0.2769497860419123,51.0
67,124,124,600,0.27328436361982467,60.0
68,71,71,600,0.27424512574305904,69.0
69,108,108,600,0.27458134293556213,72.0
70,82,82,600,0.27511446554770413,42.0
71,175,175,600,0.26927653498250276,45.0
72,171,171,601,0.2721761916316835,6.0
73,84,84,600,0.2746483577149255,72.0
74,81,81,600,0.28441238793588824,60.0
75,91,91,600,0.27612299479619423,36.0
76,81,81,600,0.27579705162746154,63.0
77,94,94,601,0.27506407892819745,51.0
78,96,96,600,0.27430228123040956,54.0
79,93,93,600,0.2740387183924516,48.0
80,88,88,600,0.27565095249725424,42.0
81,80,80,600,0.27517376138883476,75.0
82,93,93,600,0.2765930586993092,33.0
83,89,89,600,0.27494501284878664,48.0
84,78,78,600,0.28272023723449236,57.0
85,94,94,600,0.27817924274131656,39.0
86,151,151,600,0.27888113191362063,72.0
87,94,94,600,0.2755196765065193,63.0
88,170,170,600,0.27206040297945344,39.0
89,125,125,600,0.2746227071851703,66.0
90,88,88,601,0.27608843115360837,60.0
91,82,82,600,0.27613111195110135,48.0
92,73,73,600,0.28381499055868536,69.0
93,81,81,600,0.27671460719669566,48.0
94,180,180,600,0.28487681166121837,36.0
95,74,74,601,0.28428885263281983,48.0
96,85,85,600,0.2919312735850161,42.0
97,200,200,601,0.28787311082998196,39.0
98,210,210,600,0.28670435579859205,33.0
99,80,80,600,0.29656236224314747,48.0
100,77,77,600,0.30083801732005844,36.0
101,166,166,601,0.2923982748605686,24.0
102,118,118,600,0.28394491106044245,42.0
103,86,86,600,0.28243001676007606,57.0
104,90,90,600,0.28908742672723275,54.0
105,88,88,601,0.299403191699336,45.0
106,267,267,601,0.2833012656509122,0.0
107,150,150,600,0.29214066811479056,42.0
108,93,93,600,0.30108654137813684,63.0
109,74,74,600,0.30653214058544065,45.0
110,83,83,600,0.30304580418901006,60.0
111,77,77,600,0.29839403513405055,54.0
112,98,98,600,0.29840181886622336,57.0
113,212,212,600,0.29277686584503093,36.0
114,170,170,600,0.3068150278735668,32.0
115,132,132,600,0.31031206300532493,33.0
116,83,83,600,0.3004151777448979,60.0
117,82,82,600,0.29726476747203956,60.0
118,69,69,600,0.2882412646885042,45.0
119,119,119,600,0.2889094909854755,45.0
120,183,183,600,0.2864814192360761,33.0
121,151,151,600,0.29100891111827476,15.0
122,71,71,600,0.2933137269841658,71.0
123,164,164,601,0.28476580420787306,21.0
124,66,66,600,0.2921018487131092,51.0
125,159,159,600,0.28505384613423657,27.0
126,88,88,601,0.293662034711995,57.0
127,99,99,600,0.29091269132636843,54.0
128,138,138,600,0.2865840827948169,30.0
129,74,74,600,0.2942145153691497,51.0
130,168,168,600,0.28664019223445103,27.0
131,162,162,600,0.2844405988621157,29.0
132,95,95,600,0.2886807564103488,45.0
133,77,77,600,0.28988965121763094,45.0
134,95,95,600,0.28850700398650736,63.0
135,70,70,600,0.2990420397422085,69.0
136,194,194,600,0.30659167675310345,33.0
137,161,161,601,0.3199784647254549,24.0
138,73,73,600,0.32845944261703736,48.0
139,90,90,600,0.29727010075578986,51.0
140,73,73,600,0.2866821506848702,72.0
141,83,83,600,0.29771235263483087,30.0
142,77,77,600,0.30222804431455685,48.0
143,196,196,600,0.30367234766771256,27.0
144,75,75,600,0.37961683006255653,60.0
145,75,75,600,0.3204642010754661,57.0
146,71,71,600,0.2907976709507607,66.0
147,166,166,600,0.28054377501779565,30.0
148,179,179,600,0.28563962162782747,30.0
149,73,73,600,0.306277320935176,66.0
150,152,152,600,0.28723188064581046,42.0
151,168,168,600,0.30905703426073383,32.0
152,167,167,600,0.3244833570424017,45.0
153,78,78,600,0.30262122995087076,42.0
154,76,76,600,0.286471497799669,48.0
155,115,115,600,0.2891602528880733,51.0
156,90,90,600,0.30530152880415623,45.0
157,166,166,601,0.3270608201927068,33.0
158,184,184,600,0.2985070142602421,18.0
159,97,97,601,0.292981186738381,27.0
160,79,79,600,0.29591067034876745,63.0
161,81,81,600,0.3043677074363433,51.0
162,79,79,600,0.30884929444818265,54.0
163,75,75,600,0.307884044581797,60.0
164,80,80,600,0.37325100730294763,42.0
165,69,69,600,0.35734805212893955,36.0
166,67,67,600,0.2939390202223415,48.0
167,90,90,600,0.28445141667381246,66.0
168,153,153,600,0.28547955056031543,27.0
169,70,70,600,0.30735617792102654,36.0
170,178,178,600,0.29069986877016996,18.0
171,86,86,601,0.3227344714105129,63.0
172,75,75,600,0.3861439080885899,27.0
173,87,87,600,0.31891326479455256,51.0
174,83,83,600,0.30016712844371796,63.0
175,75,75,600,0.28757213414469857,42.0
176,95,95,600,0.2876063048535464,60.0
177,75,75,600,0.3052204393032121,36.0
178,90,90,600,0.31232092684755725,56.0
179,82,82,600,0.3309541304285328,57.0
180,67,67,600,0.3475135523978978,60.0
181,91,91,600,0.3622065857052803,69.0
182,155,155,600,0.30011196028102527,48.0
183,82,82,600,0.28533020734109665,87.0
184,101,101,600,0.28679939438995805,42.0
185,77,77,600,0.3076257951119367,57.0
186,115,115,600,0.30799893554577157,54.0
187,72,72,600,0.3410554434879717,57.0
188,73,73,601,0.353922356704348,48.0
189,157,157,600,0.32350233537547385,45.0
190,91,91,600,0.3040219676129672,63.0
191,104,104,600,0.29024140842791113,57.0
192,100,100,600,0.30179774610821264,57.0
193,71,71,600,0.3119799474330797,51.0
194,78,78,600,0.3201948179874891,74.0
195,147,147,600,0.36169988621631866,39.0
196,87,87,600,0.30867902787177115,42.0
197,87,87,600,0.28462390029671214,57.0
198,89,89,600,0.290262334524317,54.0
