iteration,steps,env_steps,internal_ticks,avg_inference_ms,score_red
1,234,234,600,0.2875267113286423,51.0
2,73,73,600,0.2694850481009181,80.0
3,79,79,600,0.26925276408250304,60.0
4,98,98,600,0.2724146294706273,36.0
5,82,82,600,0.2826252020895481,72.0
6,173,173,600,0.2699273197274459,24.0
7,79,79,600,0.2811172126251974,48.0
8,68,68,600,0.28786133672740005,57.0
9,168,168,600,0.2759788494083763,44.0
10,102,102,600,0.2781134263604088,60.0
11,91,91,601,0.2775941975414753,57.0
12,152,152,600,0.268855014409142,36.0
13,77,77,600,0.2671141678897234,69.0
14,87,87,601,0.2684570768828033,69.0
15,76,76,600,0.2795467618852854,69.0
16,271,271,600,0.26257876761075927,0.0
17,74,74,600,0.26931476932537707,72.0
18,92,92,601,0.2708359376380318,57.0
19,166,166,600,0.2656320968035902,18.0
20,89,89,600,0.2693149846853669,56.0
21,171,171,600,0.2644493737641503,30.0
22,78,78,600,0.26937443987432735,42.0
23,75,75,600,0.2779042813926935,57.0
24,89,89,600,0.2694583319603128,75.0
25,59,59,600,0.26831701397895813,44.0
26,82,82,600,0.2697845920920372,60.0
27,73,73,600,0.2689172949972032,54.0
28,94,94,600,0.2676247089516883,60.0
29,68,68,600,0.2693397133317712,72.0
30,81,81,600,0.271755214556154,66.0
31,81,81,600,0.2712574565694446,57.0
32,104,104,600,0.2667588777229434,60.0
33,179,179,600,0.2641297915843145,36.0
34,97,97,600,0.26811095009935965,54.0
35,91,91,600,0.2685276571140494,84.0
36,82,82,600,0.2699886383705361,63.0
37,182,182,600,0.2659720807804345,42.0
38,187,187,600,0.26456069201231003,18.0
39,73,73,600,0.2681305752946185,45.0
40,82,82,601,0.2695361888685892,84.0
41,86,86,600,0.26929482657422305,57.0
42,82,82,600,0.2694326913219759,66.0
43,77,77,600,0.2696058497979091,69.0
44,96,96,600,0.2672301405774696,39.0
45,176,176,600,0.26449136516099336,21.0
46,100,100,600,0.2681861666065675,75.0
47,78,78,600,0.2719126187446641,69.0
48,90,90,600,0.26870299326746083,75.0
49,78,78,600,0.2711109449098139,78.0
50,84,84,601,0.26844457913470526,48.0
51,100,100,600,0.26838481426239014,72.0
52,79,79,600,0.26961437664752785,42.0
53,75,75,600,0.2698240640722675,60.0
54,138,138,600,0.26560528203845024,36.0
55,111,111,600,0.26934600338853637,51.0
56,189,189,600,0.26443333245149936,30.0
57,153,153,600,0.2642880525376837,24.0
58,100,100,600,0.26864660376647737,48.0
59,73,73,601,0.2702016285375545,69.0
60,87,87,600,0.2683961469876139,45.0
61,158,158,600,0.26519135995344684,36.0
62,141,141,600,0.26466279770388745,57.0
63,115,115,600,0.2702399472559779,51.0
64,81,81,600,0.26825981981614055,63.0
65,100,100,600,0.2686286774965433,60.0
66,69,69,600,0.2687937517960866,63.0
67,86,86,600,0.2698599873633867,75.0
68,75,75,600,0.26733386847707963,63.0
69,80,80,600,0.2694599693868218,54.0
70,197,197,600,0.26515199659535515,36.0
71,101,101,600,0.2668483629206981,54.0
72,91,91,600,0.2699473578678934,39.0
73,81,81,600,0.2681110864100249,69.0
74,88,88,600,0.26802830798651583,60.0
75,79,79,600,0.26942939474815275,75.0
76,79,79,600,0.26887718094400614,60.0
77,169,169,600,0.2653214122567858,27.0
78,121,121,601,0.2683845254801964,42.0
79,78,78,600,0.26811415265346394,51.0
80,75,75,600,0.2682088768180413,75.0
81,97,97,601,0.2682161331176758,63.0
82,138,138,600,0.26590507347266995,54.0
83,98,98,600,0.26831707549751355,51.0
84,65,65,600,0.27031623827877327,42.0
85,91,91,600,0.26956573128700256,78.0
86,79,79,601,0.26808627123056455,42.0
87,167,167,600,0.2646222915295716,30.0
88,139,139,600,0.27281908738997673,69.0
89,117,117,600,0.26861914066654263,51.0
90,90,90,600,0.2688613021746278,51.0
91,125,125,600,0.26861300219350787,57.0
92,83,83,600,0.26912154520259185,63.0
93,96,96,600,0.26891713675398093,54.0
94,93,93,600,0.2683112207724124,51.0
95,83,83,600,0.2689388306701884,54.0
96,85,85,600,0.2690185740422667,63.0
97,80,80,600,0.26973471584090264,54.0
98,81,81,600,0.26880099397638574,75.0
99,76,76,600,0.26821112808059244,54.0
100,78,78,600,0.2699740874914475,48.0
101,88,88,600,0.26730035847805916,72.0
102,144,144,600,0.2652623798958091,45.0
103,115,115,600,0.27531864387648447,66.0
104,74,74,600,0.26918273371986196,72.0
105,95,95,600,0.268348473675397,54.0
106,91,91,600,0.27107967374225456,66.0
107,96,96,600,0.270487442612648,72.0
108,81,81,600,0.26800363570794294,78.0
109,197,197,601,0.2645531423249335,54.0
110,205,205,600,0.2636560430265453,24.0
111,170,170,601,0.26504762961969275,36.0
