iteration,steps,env_steps,internal_ticks,score_red
1,76,76,600,51.0
2,84,84,600,72.0
3,89,89,600,75.0
4,111,111,600,78.0
5,73,73,600,51.0
6,105,105,601,63.0
7,87,87,600,75.0
8,117,117,600,72.0
9,80,80,600,93.0
10,76,76,601,63.0
11,79,79,601,69.0
12,72,72,600,75.0
13,98,98,600,84.0
14,73,73,600,69.0
15,81,81,600,78.0
16,278,278,600,50.0
17,68,68,600,81.0
18,64,64,600,78.0
19,98,98,600,69.0
20,73,73,601,72.0
21,191,191,600,42.0
22,78,78,601,42.0
23,63,63,600,66.0
24,99,99,600,72.0
25,103,103,600,63.0
26,77,77,600,80.0
27,65,65,601,75.0
28,81,81,600,66.0
29,102,102,600,57.0
30,72,72,600,75.0
31,67,67,600,81.0
32,87,87,600,78.0
33,108,108,600,66.0
34,85,85,600,69.0
35,84,84,600,84.0
36,85,85,600,60.0
37,82,82,600,72.0
38,108,108,600,75.0
39,97,97,600,78.0
40,70,70,600,66.0
41,111,111,600,81.0
42,69,69,600,66.0
43,79,79,600,89.0
44,95,95,600,75.0
45,93,93,600,84.0
46,78,78,600,60.0
47,412,412,600,48.0
48,82,82,600,72.0
49,82,82,600,75.0
50,90,90,600,69.0
51,69,69,600,78.0
52,82,82,600,60.0
53,214,214,601,57.0
54,90,90,600,81.0
55,65,65,600,54.0
56,83,83,600,60.0
57,64,64,600,78.0
58,66,66,600,87.0
59,207,207,600,39.0
60,92,92,600,84.0
61,138,138,600,84.0
62,74,74,600,75.0
63,495,495,600,30.0
64,92,92,600,69.0
65,82,82,600,51.0
66,68,68,600,72.0
67,388,388,600,24.0
68,74,74,600,66.0
69,69,69,600,78.0
70,91,91,600,78.0
71,94,94,600,75.0
72,74,74,601,66.0
73,110,110,600,54.0
74,70,70,600,72.0
75,73,73,600,95.0
76,81,81,600,72.0
77,101,101,600,78.0
78,62,62,600,60.0
79,81,81,600,69.0
80,78,78,601,87.0
81,98,98,600,63.0
82,71,71,600,66.0
83,77,77,600,60.0
84,72,72,600,90.0
85,62,62,600,81.0
86,280,280,600,48.0
87,156,156,600,66.0
88,78,78,600,60.0
89,110,110,600,75.0
90,76,76,600,84.0
91,77,77,600,69.0
92,84,84,600,60.0
93,113,113,600,63.0
94,86,86,600,63.0
95,96,96,600,57.0
96,93,93,600,54.0
97,84,84,600,77.0
98,81,81,600,75.0
99,69,69,600,84.0
100,72,72,600,72.0
101,102,102,600,60.0
102,79,79,600,84.0
103,92,92,601,81.0
104,79,79,601,90.0
105,134,134,600,51.0
106,165,165,600,63.0
107,66,66,600,69.0
108,96,96,600,72.0
109,57,57,600,75.0
110,82,82,600,54.0
111,70,70,600,72.0
112,112,112,600,45.0
113,79,79,600,69.0
114,90,90,600,72.0
115,76,76,600,75.0
116,94,94,600,96.0
117,75,75,600,69.0
118,73,73,600,72.0
119,83,83,600,87.0
120,87,87,600,59.0
121,72,72,600,78.0
122,85,85,600,81.0
123,81,81,600,63.0
124,64,64,600,66.0
125,94,94,601,72.0
126,74,74,600,80.0
127,327,327,600,48.0
128,86,86,600,78.0
129,74,74,600,63.0
130,85,85,600,63.0
131,79,79,600,78.0
132,82,82,600,69.0
133,100,100,600,69.0
134,401,401,600,36.0
135,95,95,600,90.0
136,135,135,600,75.0
137,81,81,600,63.0
138,82,82,600,69.0
139,60,60,600,54.0
140,77,77,600,90.0
141,111,111,600,66.0
142,71,71,600,90.0
143,118,118,600,75.0
144,87,87,600,75.0
145,66,66,600,63.0
146,135,135,600,75.0
147,66,66,600,78.0
148,68,68,600,69.0
149,73,73,600,66.0
150,77,77,600,72.0
151,73,73,600,75.0
152,71,71,600,66.0
153,106,106,600,66.0
154,78,78,600,87.0
155,88,88,600,77.0
156,66,66,600,75.0
157,74,74,601,81.0
158,75,75,600,74.0
159,111,111,600,72.0
160,72,72,601,66.0
161,103,103,600,54.0
162,75,75,601,72.0
163,69,69,600,78.0
164,71,71,600,69.0
165,94,94,601,78.0
166,79,79,600,72.0
167,72,72,600,78.0
168,72,72,601,63.0
169,70,70,600,63.0
170,64,64,600,81.0
171,68,68,600,78.0
172,87,87,600,69.0
173,92,92,600,78.0
174,107,107,600,78.0
175,80,80,600,75.0
176,91,91,600,84.0
177,85,85,600,81.0
178,85,85,600,54.0
179,102,102,600,69.0
180,71,71,600,72.0
181,94,94,600,81.0
182,269,269,600,33.0
183,88,88,600,66.0
184,73,73,600,81.0
185,97,97,600,72.0
186,94,94,600,93.0
187,87,87,600,75.0
188,78,78,600,90.0
189,106,106,600,75.0
190,98,98,600,57.0
191,66,66,600,66.0
192,71,71,600,75.0
193,85,85,600,60.0
194,118,118,600,61.0
195,100,100,600,51.0
196,79,79,600,75.0
197,103,103,600,78.0
198,71,71,600,42.0
199,82,82,600,51.0
200,94,94,600,66.0
201,89,89,600,66.0
202,85,85,600,81.0
203,84,84,600,72.0
204,84,84,600,78.0
205,119,119,600,78.0
206,65,65,600,66.0
207,290,290,600,57.0
208,64,64,600,78.0
209,78,78,600,66.0
210,96,96,600,63.0
211,76,76,600,96.0
212,59,59,600,60.0
213,68,68,600,69.0
214,70,70,600,72.0
215,118,118,600,42.0
216,79,79,600,78.0
217,90,90,600,69.0
218,78,78,600,81.0
219,91,91,600,54.0
220,70,70,600,78.0
221,97,97,600,57.0
222,91,91,600,93.0
223,180,180,600,51.0
224,93,93,600,69.0
225,68,68,600,75.0
226,99,99,600,87.0
227,89,89,601,87.0
228,78,78,600,69.0
229,73,73,600,72.0
230,80,80,600,72.0
231,84,84,600,78.0
232,77,77,600,69.0
233,72,72,600,78.0
234,69,69,600,69.0
235,114,114,600,81.0
236,70,70,600,63.0
237,82,82,600,57.0
238,68,68,600,63.0
239,113,113,600,78.0
240,76,76,600,57.0
241,79,79,601,54.0
242,90,90,600,69.0
243,85,85,600,87.0
244,97,97,600,66.0
245,99,99,600,60.0
246,102,102,600,72.0
247,84,84,600,78.0
248,81,81,600,66.0
249,133,133,600,42.0
250,109,109,601,81.0
251,64,64,600,75.0
252,69,69,600,75.0
253,546,546,600,15.0
254,63,63,600,78.0
255,68,68,601,87.0
256,63,63,600,54.0
257,106,106,600,63.0
258,127,127,600,75.0
259,83,83,600,75.0
260,78,78,600,66.0
261,85,85,600,66.0
262,98,98,601,63.0
263,86,86,600,81.0
264,70,70,600,84.0
265,80,80,601,81.0
266,68,68,600,72.0
267,99,99,600,78.0
268,85,85,600,69.0
269,92,92,600,45.0
270,82,82,600,75.0
271,120,120,600,96.0
272,115,115,600,75.0
273,70,70,601,63.0
274,86,86,600,69.0
275,83,83,600,60.0
276,94,94,600,72.0
277,115,115,600,78.0
278,104,104,600,75.0
279,95,95,600,75.0
280,96,96,600,72.0
281,71,71,600,69.0
282,170,170,600,69.0
283,106,106,600,44.0
284,79,79,600,75.0
285,84,84,600,78.0
286,64,64,600,66.0
287,129,129,600,75.0
288,156,156,600,87.0
289,76,76,600,66.0
290,97,97,601,69.0
291,60,60,600,57.0
292,144,144,600,69.0
293,78,78,600,69.0
294,96,96,600,81.0
295,86,86,600,60.0
296,112,112,600,60.0
297,76,76,600,69.0
298,396,396,600,33.0
299,66,66,600,66.0
300,112,112,600,84.0
301,81,81,600,63.0
302,87,87,600,72.0
303,69,69,600,69.0
304,72,72,600,66.0
305,86,86,600,69.0
306,72,72,600,66.0
307,76,76,600,48.0
308,131,131,600,66.0
309,80,80,600,90.0
310,93,93,600,69.0
311,101,101,600,78.0
312,68,68,600,63.0
313,97,97,600,87.0
314,60,60,601,60.0
315,71,71,600,72.0
316,79,79,601,69.0
317,101,101,600,63.0
318,79,79,600,75.0
319,78,78,600,83.0
320,95,95,600,75.0
321,65,65,600,81.0
322,78,78,600,66.0
323,58,58,600,63.0
324,84,84,600,51.0
325,70,70,600,78.0
326,82,82,600,50.0
327,73,73,600,72.0
328,79,79,600,81.0
329,82,82,600,75.0
330,80,80,600,87.0
331,98,98,600,81.0
332,68,68,600,84.0
333,65,65,600,90.0
334,112,112,600,78.0
335,75,75,600,81.0
336,58,58,600,57.0
337,77,77,600,78.0
338,71,71,600,66.0
339,64,64,600,66.0
340,121,121,600,60.0
341,84,84,600,69.0
342,83,83,600,63.0
343,92,92,600,66.0
344,73,73,600,57.0
345,66,66,600,57.0
346,65,65,600,72.0
347,80,80,600,75.0
348,101,101,600,72.0
349,76,76,600,81.0
350,68,68,600,72.0
351,108,108,600,75.0
352,90,90,600,84.0
353,75,75,600,84.0
354,72,72,600,80.0
355,347,347,600,27.0
356,61,61,600,60.0
357,218,218,600,60.0
358,78,78,600,84.0
359,105,105,600,62.0
360,87,87,600,72.0
361,74,74,600,57.0
362,74,74,600,78.0
363,83,83,600,78.0
364,118,118,600,66.0
365,339,339,600,39.0
366,85,85,600,84.0
367,78,78,601,75.0
368,63,63,600,87.0
369,67,67,600,51.0
370,80,80,601,78.0
371,94,94,600,69.0
372,142,142,600,81.0
373,92,92,600,87.0
374,73,73,600,78.0
375,106,106,601,78.0
376,96,96,600,72.0
377,80,80,600,81.0
378,84,84,600,69.0
379,77,77,601,81.0
380,208,208,600,63.0
381,390,390,600,45.0
382,118,118,600,63.0
383,76,76,600,48.0
384,90,90,600,78.0
385,77,77,601,81.0
386,77,77,600,72.0
387,67,67,600,75.0
388,75,75,600,84.0
389,114,114,600,69.0
390,99,99,600,69.0
391,70,70,601,90.0
392,108,108,600,75.0
393,95,95,600,63.0
394,87,87,600,75.0
395,77,77,600,75.0
396,95,95,600,72.0
397,68,68,600,60.0
398,124,124,600,63.0
399,98,98,600,78.0
400,91,91,600,75.0
401,85,85,601,72.0
402,90,90,601,78.0
403,82,82,600,75.0
404,73,73,600,75.0
405,91,91,600,66.0
406,142,142,600,71.0
407,97,97,600,63.0
408,213,213,600,63.0
409,73,73,600,51.0
410,74,74,600,72.0
411,80,80,600,66.0
412,72,72,600,78.0
413,60,60,600,69.0
414,95,95,600,81.0
415,65,65,600,75.0
416,90,90,600,75.0
417,99,99,600,63.0
418,93,93,600,69.0
419,190,190,600,57.0
420,90,90,600,75.0
421,82,82,600,48.0
422,65,65,600,75.0
423,78,78,600,87.0
424,85,85,600,69.0
425,84,84,600,60.0
426,102,102,600,77.0
427,68,68,600,78.0
428,83,83,600,81.0
429,70,70,600,75.0
430,78,78,600,69.0
431,114,114,600,57.0
432,110,110,600,60.0
433,68,68,600,87.0
434,144,144,600,63.0
435,88,88,600,90.0
436,302,302,600,42.0
437,376,376,600,27.0
438,85,85,600,66.0
439,72,72,600,78.0
440,77,77,600,75.0
441,92,92,600,69.0
442,74,74,600,81.0
443,87,87,600,81.0
444,94,94,600,81.0
445,80,80,600,75.0
446,80,80,600,69.0
447,73,73,600,81.0
448,90,90,600,69.0
449,86,86,601,72.0
450,77,77,600,71.0
451,126,126,600,63.0
452,84,84,601,84.0
453,86,86,600,66.0
454,76,76,601,69.0
455,82,82,600,63.0
456,70,70,600,72.0
457,73,73,600,69.0
458,87,87,600,45.0
459,130,130,600,66.0
460,79,79,600,78.0
461,75,75,600,81.0
462,81,81,600,84.0
463,83,83,600,81.0
464,56,56,600,54.0
465,82,82,601,75.0
466,90,90,600,60.0
467,73,73,600,54.0
468,228,228,600,54.0
469,98,98,600,69.0
470,82,82,600,63.0
471,100,100,600,60.0
472,88,88,600,81.0
473,82,82,600,63.0
474,82,82,600,81.0
475,77,77,600,63.0
476,99,99,600,72.0
477,74,74,600,84.0
478,93,93,600,81.0
479,73,73,600,75.0
480,98,98,600,69.0
481,94,94,600,78.0
482,81,81,600,81.0
483,95,95,600,75.0
484,71,71,600,78.0
485,63,63,600,63.0
486,78,78,600,87.0
487,342,342,600,57.0
488,84,84,600,81.0
489,113,113,601,78.0
490,60,60,600,90.0
491,73,73,600,57.0
492,139,139,600,72.0
493,63,63,600,72.0
494,90,90,600,81.0
495,87,87,600,75.0
496,80,80,600,72.0
497,66,66,600,69.0
498,85,85,600,75.0
499,74,74,601,80.0
500,74,74,600,78.0
501,95,95,600,75.0
502,62,62,600,72.0
503,85,85,601,90.0
504,113,113,600,57.0
505,76,76,600,75.0
506,81,81,600,84.0
507,66,66,600,57.0
508,83,83,600,87.0
509,100,100,601,78.0
510,89,89,600,75.0
511,72,72,600,81.0
512,448,448,600,33.0
513,76,76,600,72.0
514,219,219,600,51.0
515,87,87,600,78.0
516,70,70,600,87.0
517,76,76,600,75.0
518,81,81,600,81.0
519,383,383,600,51.0
520,69,69,600,81.0
521,91,91,600,84.0
522,106,106,600,42.0
523,87,87,600,63.0
524,84,84,600,66.0
525,83,83,600,66.0
526,70,70,600,66.0
527,87,87,600,66.0
528,72,72,600,66.0
529,96,96,600,78.0
530,333,333,600,39.0
531,80,80,600,66.0
532,93,93,600,84.0
533,70,70,600,54.0
534,84,84,600,75.0
535,70,70,601,69.0
536,151,151,600,69.0
537,146,146,600,57.0
538,77,77,601,66.0
539,71,71,600,90.0
