iteration,steps,env_steps,internal_ticks,avg_inference_ms,score_red
1,84,84,600,0.3633886179619137,42.0
2,93,93,600,0.24370305155488578,45.0
3,125,125,600,0.24123220847776303,48.0
4,100,100,600,0.24096144008494558,54.0
5,191,191,600,0.2414404179503038,21.0
6,189,189,600,0.24112376112417125,21.0
7,214,214,600,0.23644066217924115,15.0
8,68,68,600,0.24215808801659164,42.0
9,247,247,600,0.23930086281598734,38.0
10,124,124,600,0.23924901615828276,47.0
11,240,240,600,0.2364467768336585,27.0
12,103,103,600,0.239947771231802,27.0
13,211,211,600,0.23612998059200765,3.0
14,104,104,600,0.24410324228878041,42.0
15,118,118,600,0.23779159734450925,42.0
16,188,188,600,0.2362276803739745,24.0
17,196,196,600,0.2354268062238892,27.0
18,122,122,600,0.2381742215500428,54.0
19,235,235,600,0.23558700502098323,39.0
20,190,190,600,0.23523283313091808,41.0
21,104,104,600,0.23912626677491794,48.0
22,89,89,600,0.24139057557554322,72.0
23,83,83,600,0.24114541131360778,57.0
24,72,72,600,0.2417723493029674,57.0
25,101,101,600,0.23976899252307635,60.0
26,229,229,600,0.23443449058558838,24.0
27,95,95,600,0.24060735013335943,51.0
28,176,176,600,0.23614114263292516,50.0
29,96,96,600,0.24100168353333226,48.0
30,104,104,600,0.2398369218802677,48.0
31,200,200,600,0.23586733142248772,36.0
32,170,170,600,0.23592614544261442,29.0
33,225,225,600,0.23454809060461254,18.0
34,111,111,600,0.23914004365603128,57.0
35,97,97,600,0.2415529657703112,60.0
36,113,113,600,0.23931429313961416,51.0
37,105,105,600,0.23923762110543662,48.0
38,84,84,600,0.24241645129795156,12.0
39,207,207,600,0.23721637800000273,23.0
40,174,174,600,0.23791297571733594,18.0
41,87,87,600,0.24230924641920462,36.0
42,109,109,600,0.23868308288224957,51.0
43,220,220,600,0.2349293751461345,24.0
44,78,78,600,0.23976160446181893,60.0
45,86,86,600,0.23974466861950028,60.0
46,241,241,600,0.23513744917583954,30.0
47,101,101,600,0.24004249672333783,36.0
48,297,297,600,0.23521301759914917,0.0
49,92,92,600,0.2474721540954519,57.0
50,85,85,600,0.24240569661507447,51.0
51,117,117,600,0.23881853323335908,42.0
52,115,115,600,0.2385094330823126,24.0
53,76,76,600,0.24208686171242824,39.0
54,74,74,600,0.24020936398301274,51.0
55,195,195,600,0.23635484588642916,39.0
56,119,119,600,0.24035649916126592,39.0
57,115,115,600,0.24040937662506714,27.0
58,249,249,600,0.2358932971643905,24.0
59,179,179,600,0.2386762104310829,57.0
60,82,82,600,0.2401290630287194,54.0
61,89,89,600,0.24770719663022048,45.0
62,200,200,600,0.23637345681587857,18.0
63,94,94,600,0.24032276551410253,60.0
64,132,132,600,0.23823460596131868,44.0
65,120,120,600,0.23974740179255605,60.0
66,75,75,600,0.24072433977077404,45.0
67,96,96,600,0.2393330341334095,39.0
68,84,84,600,0.24136717073879269,66.0
69,217,217,600,0.2355479456959887,15.0
70,103,103,600,0.24117487260983106,48.0
71,122,122,600,0.23826973505713273,33.0
72,231,231,600,0.23408585920839048,27.0
73,217,217,600,0.2347531925232216,23.0
74,278,278,600,0.2330954223273881,0.0
75,105,105,600,0.24093790706076207,66.0
76,195,195,600,0.2365418305784902,33.0
77,203,203,600,0.2356357715168112,24.0
78,191,191,600,0.2359478983816236,15.0
79,203,203,600,0.23678031540689393,18.0
80,162,162,600,0.23713696215064883,30.0
81,104,104,600,0.23809650283829686,45.0
82,90,90,601,0.239940620265267,42.0
83,81,81,600,0.24199757682180953,54.0
84,112,112,600,0.23890486797960153,30.0
85,71,71,600,0.2423777555425962,69.0
86,189,189,600,0.2391800355848552,27.0
87,108,108,600,0.23863405346803898,33.0
88,99,99,600,0.2407053679154061,48.0
89,83,83,600,0.24362173648658156,39.0
90,191,191,600,0.23695151543333418,24.0
91,95,95,600,0.2427061691003687,72.0
92,97,97,601,0.24079773183389802,57.0
93,99,99,600,0.24111551737465034,65.0
94,139,139,600,0.23763143027177716,33.0
95,207,207,600,0.23554269552862803,30.0
96,200,200,600,0.2372628164499305,36.0
97,103,103,600,0.2405705782039477,30.0
98,93,93,600,0.2406538660954876,60.0
99,77,77,600,0.24244947902237377,27.0
100,202,202,600,0.23661836955661528,21.0
101,80,80,601,0.24246615012762723,48.0
102,141,141,600,0.23935115654263403,42.0
103,86,86,600,0.2410678124955196,57.0
104,90,90,601,0.2386387720819294,36.0
105,100,100,600,0.2492330569241728,69.0
106,96,96,600,0.241069824016672,33.0
107,98,98,600,0.24080227946265126,69.0
108,230,230,600,0.23620450266354806,27.0
109,96,96,600,0.24124818573732978,53.0
110,167,167,600,0.2375690747936398,33.0
111,169,169,600,0.23672733092331952,21.0
112,85,85,600,0.24203867757354272,36.0
113,88,88,600,0.24032712193025696,56.0
114,127,127,600,0.23884165707524077,29.0
115,100,100,600,0.23867812761593432,66.0
116,83,83,600,0.24170368032037526,24.0
117,136,136,600,0.23809791063811156,33.0
118,93,93,600,0.2418168722406814,33.0
119,175,175,600,0.23688932004220345,27.0
120,198,198,600,0.23767477223458136,30.0
121,210,210,600,0.23501961874291627,33.0
122,120,120,600,0.23803217447407188,33.0
123,234,234,600,0.23457279286710134,35.0
124,77,77,600,0.23923167027533054,51.0
125,86,86,600,0.23960411310830015,51.0
126,95,95,600,0.2412856876046634,42.0
127,253,253,601,0.23691655623313404,24.0
128,76,76,600,0.24124235202224903,54.0
129,184,184,600,0.23729728500685454,40.0
130,216,216,600,0.2341777828287303,27.0
131,115,115,600,0.2396153538332631,69.0
132,108,108,601,0.2384967041936347,54.0
133,135,135,600,0.23934145559532902,36.0
134,198,198,600,0.23502632310347898,21.0
135,190,190,600,0.2370774901161591,35.0
136,101,101,600,0.23735080113900558,57.0
137,313,313,600,0.23353401806873633,0.0
138,225,225,600,0.23555058268372153,33.0
139,198,198,600,0.23618750013062886,24.0
140,92,92,600,0.24101601835961142,36.0
141,94,94,600,0.23881018529176165,27.0
142,176,176,600,0.23648185396497262,36.0
143,118,118,600,0.24136185804887336,51.0
144,173,173,601,0.237060367734112,24.0
145,90,90,600,0.2401585489050629,24.0
