iteration,steps,env_steps,internal_ticks,score_red
1,349,349,600,3.0
2,404,404,600,0.0
3,383,383,600,3.0
4,396,396,600,0.0
5,368,368,600,3.0
6,323,323,600,3.0
7,340,340,600,0.0
8,336,336,600,0.0
9,377,377,600,0.0
10,462,462,600,3.0
11,348,348,600,6.0
12,359,359,600,3.0
13,368,368,600,3.0
14,313,313,600,0.0
15,418,418,600,0.0
16,350,350,600,0.0
17,359,359,600,0.0
18,403,403,600,11.0
19,422,422,600,0.0
20,311,311,600,0.0
21,352,352,600,0.0
22,356,356,601,0.0
23,355,355,600,0.0
24,383,383,600,3.0
25,387,387,600,3.0
26,380,380,600,0.0
27,344,344,600,5.0
28,371,371,600,0.0
29,326,326,600,0.0
30,399,399,600,3.0
31,417,417,600,3.0
32,380,380,600,3.0
33,383,383,601,0.0
34,378,378,600,3.0
35,421,421,600,8.0
36,384,384,600,3.0
37,400,400,600,0.0
38,368,368,600,3.0
39,388,388,600,3.0
40,335,335,600,0.0
41,382,382,600,5.0
42,403,403,600,0.0
43,403,403,600,3.0
44,440,440,600,3.0
45,374,374,600,3.0
46,381,381,600,3.0
47,380,380,600,0.0
48,377,377,600,3.0
49,350,350,600,0.0
50,348,348,601,0.0
51,356,356,600,0.0
52,368,368,600,0.0
53,375,375,600,3.0
54,359,359,600,0.0
55,404,404,600,3.0
56,400,400,600,3.0
57,369,369,600,3.0
58,415,415,600,3.0
59,348,348,600,0.0
60,366,366,600,6.0
61,451,451,601,6.0
62,324,324,600,0.0
63,349,349,600,3.0
64,381,381,600,0.0
65,385,385,600,0.0
66,360,360,600,6.0
67,409,409,600,3.0
68,348,348,600,3.0
69,356,356,600,0.0
70,419,419,600,6.0
71,356,356,600,0.0
72,328,328,600,0.0
73,372,372,601,3.0
74,437,437,600,0.0
75,358,358,600,0.0
76,345,345,600,0.0
77,414,414,600,0.0
78,377,377,600,3.0
79,378,378,600,5.0
80,343,343,600,0.0
81,427,427,600,3.0
82,409,409,600,0.0
83,381,381,600,3.0
84,402,402,600,0.0
85,384,384,600,3.0
86,285,285,600,0.0
87,336,336,600,3.0
88,388,388,600,0.0
89,405,405,600,3.0
90,373,373,600,0.0
91,425,425,600,8.0
92,344,344,601,0.0
93,407,407,600,6.0
94,327,327,600,3.0
95,369,369,600,0.0
96,421,421,600,3.0
97,402,402,600,0.0
98,379,379,600,0.0
99,346,346,600,6.0
100,419,419,600,0.0
