iteration,steps,env_steps,internal_ticks,avg_inference_ms,score_red
1,162,162,600,0.22820881293977008,36.0
2,94,94,601,0.20308019023160545,54.0
3,79,79,600,0.2066412849760637,36.0
4,84,84,600,0.2026636759902156,42.0
5,90,90,600,0.20174309611320496,42.0
6,97,97,600,0.2070064108599635,45.0
7,93,93,600,0.20299951678940228,57.0
8,89,89,600,0.2012593632048749,33.0
9,178,178,600,0.1977776338783454,21.0
10,142,142,600,0.20158236535886923,27.0
11,91,91,600,0.20877658674607472,51.0
12,196,196,601,0.20565556855324438,18.0
13,231,231,601,0.19702189410112325,0.0
14,169,169,600,0.20550024799174732,24.0
15,147,147,600,0.20658987451274438,18.0
16,149,149,600,0.20703033705849846,48.0
17,160,160,600,0.19922672105687006,21.0
18,93,93,601,0.20947644487023354,39.0
19,92,92,601,0.20236056298017502,48.0
20,87,87,600,0.19986175515867294,24.0
21,168,168,600,0.19982811924866858,33.0
22,144,144,600,0.19855995344210275,33.0
23,128,128,600,0.19800448327833878,21.0
24,220,220,600,0.19575555995106697,5.0
25,279,279,600,0.19533535664748847,3.0
26,101,101,600,0.20208900274188668,42.0
27,177,177,600,0.19745680598173548,30.0
28,80,80,600,0.2026635906602963,57.0
29,188,188,600,0.19752475268700545,12.0
30,97,97,600,0.20194524582826867,48.0
31,259,259,600,0.1948765661579826,0.0
32,79,79,600,0.2024192363023758,33.0
33,188,188,600,0.1977345573917106,30.0
34,73,73,600,0.20268740882347155,45.0
35,190,190,600,0.19746893130749174,27.0
36,101,101,600,0.20354224280232475,54.0
37,73,73,600,0.20564441787607876,42.0
38,79,79,600,0.20336718639222587,42.0
39,93,93,600,0.2025050510253225,48.0
40,173,173,600,0.19726121445765366,24.0
41,156,156,600,0.1974765266127446,18.0
42,90,90,600,0.20176047419613982,69.0
43,172,172,600,0.1966201865191882,36.0
44,99,99,600,0.20123408267311022,57.0
45,197,197,600,0.1977463799393233,6.0
46,85,85,600,0.20121815411940863,33.0
47,85,85,600,0.200480574534999,27.0
48,178,178,600,0.1970776670414549,30.0
49,84,84,600,0.20084265423448464,51.0
50,90,90,600,0.20221747616504102,57.0
51,66,66,600,0.2028607881404984,36.0
52,91,91,600,0.20229025264677492,39.0
53,188,188,600,0.19753060598925845,38.0
54,275,275,600,0.1943442082441997,3.0
55,154,154,600,0.19921903662821824,30.0
56,167,167,600,0.19680956831654986,30.0
57,64,64,600,0.20616400454725536,36.0
58,95,95,600,0.20103486922552002,45.0
59,161,161,600,0.19816748030921993,30.0
60,139,139,600,0.19955638282257934,30.0
61,90,90,601,0.2015199127566555,36.0
62,88,88,600,0.20276451897290018,50.0
63,181,181,600,0.1977497346736678,33.0
64,188,188,600,0.1978494991094638,33.0
65,80,80,600,0.20217500498582577,48.0
66,161,161,600,0.1978630763153697,14.0
67,98,98,600,0.20310109875236565,51.0
68,92,92,600,0.20792409777641296,42.0
69,234,234,600,0.19478056668828372,0.0
70,170,170,600,0.1986497263918376,33.0
71,193,193,600,0.19586927400113227,32.0
72,171,171,600,0.19869178326593503,36.0
73,149,149,600,0.19872283414463324,27.0
74,198,198,600,0.1971656500938393,27.0
75,241,241,600,0.19497148861349253,3.0
76,200,200,600,0.19604413045777214,30.0
77,81,81,600,0.2040834311979363,48.0
78,267,267,600,0.19441798488845882,0.0
79,147,147,600,0.19800694647178152,24.0
80,168,168,600,0.19965677918320862,30.0
81,82,82,600,0.2023002652581348,72.0
82,162,162,600,0.1976833550516003,30.0
83,110,110,600,0.20185558657561029,51.0
84,86,86,600,0.20148453640413808,39.0
85,87,87,600,0.20076966795482135,39.0
86,184,184,601,0.1960920635610819,36.0
87,182,182,600,0.19705581232673763,39.0
88,155,155,600,0.1976358951569277,18.0
89,83,83,601,0.20470543829507606,24.0
90,111,111,600,0.20142022985965014,48.0
91,203,203,600,0.19691530778481248,30.0
92,159,159,600,0.19705635791569087,24.0
93,81,81,600,0.20200568473055247,54.0
94,90,90,600,0.20152260053982127,51.0
95,193,193,600,0.19598850590545078,24.0
96,89,89,600,0.20114894172078687,51.0
97,241,241,600,0.19463963454236854,0.0
98,157,157,600,0.19850349900397388,48.0
99,151,151,600,0.19752887296087948,33.0
100,185,185,601,0.1981011399826438,27.0
101,247,247,600,0.1942386900056277,0.0
102,79,79,601,0.2024160875450997,54.0
103,89,89,600,0.20199808822844617,42.0
104,163,163,600,0.19977307956979937,24.0
