iteration,steps,env_steps,internal_ticks,score_red
1,178,178,600,29.0
2,173,173,600,15.0
3,265,265,600,0.0
4,428,428,600,3.0
5,169,169,600,30.0
6,128,128,600,33.0
7,170,170,600,39.0
8,196,196,600,24.0
9,409,409,600,0.0
10,171,171,600,15.0
11,159,159,600,36.0
12,184,184,600,18.0
13,104,104,600,36.0
14,206,206,600,24.0
15,450,450,600,0.0
16,168,168,600,15.0
17,446,446,600,0.0
18,150,150,600,33.0
19,173,173,600,21.0
20,205,205,600,30.0
21,227,227,600,0.0
22,181,181,600,18.0
23,187,187,600,27.0
24,310,310,600,0.0
25,149,149,600,21.0
26,224,224,600,3.0
27,192,192,600,24.0
28,161,161,600,41.0
29,189,189,600,18.0
30,168,168,600,23.0
31,219,219,601,0.0
32,183,183,600,18.0
33,199,199,600,21.0
34,462,462,600,0.0
35,303,303,600,24.0
36,433,433,600,12.0
37,169,169,600,30.0
38,279,279,600,0.0
39,150,150,600,27.0
40,195,195,601,27.0
41,225,225,600,24.0
42,160,160,600,15.0
43,228,228,600,3.0
44,328,328,600,39.0
45,198,198,600,39.0
46,131,131,600,48.0
47,180,180,600,27.0
48,174,174,600,36.0
49,154,154,601,36.0
50,159,159,601,24.0
51,166,166,600,24.0
52,220,220,600,15.0
53,231,231,600,12.0
54,169,169,601,9.0
55,79,79,600,60.0
56,267,267,600,0.0
57,248,248,600,0.0
58,194,194,600,24.0
59,197,197,600,18.0
60,182,182,600,24.0
61,221,221,600,0.0
62,171,171,600,11.0
63,282,282,600,3.0
64,166,166,600,33.0
65,232,232,601,5.0
66,191,191,601,21.0
67,257,257,600,0.0
68,157,157,600,18.0
69,149,149,601,30.0
70,101,101,600,45.0
71,254,254,600,0.0
72,167,167,600,36.0
73,196,196,600,33.0
74,234,234,600,0.0
75,259,259,600,5.0
76,170,170,600,21.0
77,157,157,600,24.0
78,247,247,600,0.0
79,227,227,600,9.0
80,478,478,600,3.0
81,162,162,600,24.0
82,178,178,600,29.0
83,162,162,600,18.0
84,250,250,600,0.0
85,210,210,600,23.0
86,269,269,600,0.0
87,155,155,600,33.0
88,101,101,600,54.0
89,442,442,600,15.0
90,169,169,600,18.0
91,197,197,601,30.0
92,218,218,600,15.0
93,174,174,600,23.0
94,454,454,600,0.0
95,148,148,600,39.0
96,225,225,600,24.0
97,191,191,600,27.0
98,186,186,600,27.0
99,176,176,600,27.0
100,193,193,600,30.0
101,192,192,600,30.0
102,175,175,600,24.0
103,212,212,600,21.0
104,547,547,600,9.0
105,519,519,600,6.0
106,208,208,600,36.0
107,247,247,600,5.0
108,144,144,600,27.0
109,147,147,601,15.0
110,156,156,601,33.0
111,112,112,600,27.0
112,172,172,600,27.0
113,169,169,600,15.0
114,171,171,600,12.0
115,425,425,600,9.0
116,152,152,600,21.0
117,211,211,600,15.0
118,254,254,600,0.0
119,472,472,600,3.0
120,97,97,600,54.0
121,190,190,600,18.0
122,151,151,600,3.0
123,137,137,600,24.0
124,196,196,601,12.0
125,177,177,600,27.0
126,182,182,600,27.0
127,99,99,600,69.0
128,175,175,600,27.0
129,149,149,600,35.0
130,190,190,600,23.0
131,173,173,600,24.0
132,284,284,600,0.0
133,125,125,600,33.0
134,163,163,600,36.0
135,154,154,600,36.0
136,194,194,600,3.0
137,504,504,600,3.0
138,189,189,600,33.0
139,123,123,600,18.0
140,257,257,600,3.0
141,189,189,601,30.0
142,203,203,600,18.0
143,439,439,600,15.0
144,241,241,600,18.0
145,442,442,600,0.0
146,222,222,600,8.0
147,188,188,600,30.0
148,98,98,600,57.0
149,162,162,600,24.0
150,233,233,600,9.0
151,231,231,600,27.0
152,135,135,600,60.0
153,203,203,600,24.0
154,183,183,600,21.0
155,178,178,600,33.0
156,157,157,600,30.0
157,157,157,600,33.0
158,154,154,600,27.0
159,169,169,600,21.0
160,257,257,600,0.0
161,304,304,600,36.0
162,276,276,600,0.0
163,146,146,600,24.0
164,122,122,600,39.0
165,260,260,600,5.0
166,170,170,600,14.0
167,187,187,600,6.0
168,182,182,600,27.0
169,164,164,600,12.0
170,179,179,600,27.0
171,228,228,600,27.0
172,208,208,600,30.0
173,156,156,600,26.0
174,223,223,600,14.0
175,185,185,601,18.0
176,184,184,600,36.0
177,169,169,600,27.0
178,188,188,600,18.0
179,171,171,600,21.0
180,162,162,600,30.0
181,152,152,600,30.0
182,170,170,600,15.0
183,156,156,600,42.0
184,185,185,600,12.0
185,153,153,600,21.0
186,249,249,600,3.0
187,185,185,600,0.0
188,94,94,600,33.0
189,166,166,600,33.0
190,167,167,600,15.0
191,127,127,600,54.0
192,182,182,600,30.0
193,170,170,600,27.0
194,166,166,600,18.0
195,183,183,600,35.0
196,183,183,600,21.0
197,156,156,600,33.0
198,301,301,600,0.0
199,165,165,600,27.0
200,188,188,600,18.0
201,132,132,600,30.0
202,278,278,600,8.0
203,203,203,600,9.0
204,161,161,600,9.0
205,144,144,600,18.0
206,197,197,600,36.0
207,211,211,600,24.0
208,196,196,600,17.0
209,492,492,600,3.0
210,189,189,600,21.0
211,225,225,600,0.0
212,166,166,600,30.0
213,89,89,601,39.0
214,179,179,600,17.0
215,235,235,600,0.0
216,173,173,600,21.0
217,155,155,601,30.0
218,182,182,600,23.0
219,92,92,600,42.0
220,195,195,600,30.0
221,92,92,600,33.0
222,173,173,600,27.0
223,157,157,601,18.0
224,114,114,600,30.0
225,548,548,600,9.0
226,276,276,600,0.0
227,262,262,600,5.0
228,165,165,600,29.0
229,178,178,600,18.0
230,178,178,600,15.0
231,254,254,600,36.0
232,225,225,600,5.0
233,202,202,600,27.0
234,220,220,600,33.0
235,489,489,600,9.0
236,117,117,601,54.0
237,90,90,600,63.0
238,162,162,600,21.0
239,242,242,600,5.0
240,181,181,600,6.0
241,160,160,600,27.0
242,286,286,600,5.0
243,163,163,600,30.0
244,154,154,600,36.0
245,224,224,600,0.0
246,162,162,600,18.0
247,216,216,600,27.0
248,163,163,600,36.0
249,117,117,600,54.0
250,233,233,600,21.0
251,391,391,600,24.0
252,429,429,600,15.0
253,446,446,600,0.0
254,551,551,600,9.0
255,179,179,600,36.0
256,508,508,600,6.0
257,240,240,601,0.0
258,182,182,600,33.0
259,246,246,600,3.0
260,203,203,600,30.0
261,466,466,600,0.0
262,140,140,600,30.0
263,215,215,600,33.0
264,171,171,600,24.0
265,158,158,600,27.0
266,171,171,601,15.0
267,239,239,600,39.0
268,464,464,600,0.0
269,212,212,600,27.0
270,503,503,600,6.0
271,233,233,600,0.0
272,474,474,600,6.0
273,161,161,600,27.0
274,175,175,600,27.0
275,161,161,600,24.0
276,190,190,600,17.0
277,139,139,600,45.0
278,236,236,600,24.0
279,184,184,600,27.0
280,188,188,600,27.0
281,224,224,600,18.0
282,360,360,600,12.0
283,294,294,600,0.0
284,185,185,600,30.0
285,206,206,600,18.0
286,148,148,600,30.0
287,153,153,600,27.0
288,267,267,601,0.0
289,263,263,600,3.0
290,137,137,600,30.0
291,236,236,600,3.0
292,179,179,601,41.0
293,161,161,600,27.0
294,194,194,601,15.0
295,166,166,600,51.0
296,210,210,601,24.0
297,230,230,600,0.0
298,206,206,600,21.0
299,318,318,600,24.0
300,182,182,600,30.0
301,168,168,600,24.0
302,133,133,600,57.0
303,237,237,600,5.0
304,129,129,600,27.0
305,244,244,600,3.0
306,154,154,600,12.0
307,194,194,600,18.0
308,208,208,600,27.0
309,152,152,600,27.0
310,189,189,600,36.0
311,175,175,600,30.0
312,419,419,600,3.0
313,222,222,600,12.0
314,195,195,600,24.0
315,209,209,600,26.0
316,135,135,600,18.0
317,286,286,600,3.0
318,171,171,600,27.0
319,200,200,600,24.0
320,101,101,600,45.0
321,201,201,600,0.0
322,161,161,600,18.0
323,174,174,601,35.0
324,169,169,600,24.0
325,228,228,600,0.0
326,232,232,600,0.0
327,261,261,600,6.0
328,248,248,600,5.0
329,155,155,600,33.0
330,209,209,600,6.0
331,271,271,600,0.0
332,230,230,600,0.0
333,277,277,600,5.0
334,150,150,600,27.0
335,178,178,600,18.0
336,206,206,600,32.0
337,110,110,600,39.0
338,181,181,600,33.0
339,163,163,600,27.0
340,232,232,600,27.0
341,230,230,600,0.0
342,271,271,600,3.0
343,166,166,600,31.0
344,171,171,600,24.0
345,492,492,600,3.0
346,175,175,600,15.0
347,421,421,600,3.0
348,163,163,600,12.0
349,184,184,600,12.0
350,137,137,600,30.0
351,121,121,600,57.0
352,135,135,600,44.0
353,177,177,600,21.0
354,143,143,600,9.0
355,172,172,600,21.0
356,151,151,600,30.0
357,144,144,600,15.0
358,193,193,600,15.0
359,174,174,600,24.0
360,462,462,600,0.0
361,452,452,600,0.0
362,459,459,600,0.0
363,547,547,600,9.0
364,246,246,601,0.0
365,272,272,600,0.0
366,175,175,600,9.0
367,188,188,600,30.0
368,156,156,600,24.0
369,213,213,600,21.0
370,79,79,600,63.0
371,160,160,601,42.0
372,234,234,600,48.0
373,78,78,600,42.0
374,516,516,600,6.0
375,207,207,600,21.0
376,248,248,600,0.0
377,161,161,600,21.0
378,160,160,600,30.0
379,171,171,600,20.0
380,253,253,600,3.0
381,187,187,600,27.0
382,256,256,600,3.0
383,530,530,600,12.0
384,215,215,600,6.0
385,235,235,600,0.0
386,102,102,600,48.0
387,166,166,600,21.0
388,200,200,600,3.0
389,173,173,600,24.0
390,448,448,600,18.0
391,169,169,600,24.0
392,244,244,600,3.0
393,159,159,600,24.0
394,199,199,600,21.0
395,213,213,600,42.0
396,246,246,600,12.0
397,242,242,600,0.0
398,170,170,600,30.0
399,199,199,600,27.0
400,228,228,600,21.0
401,189,189,600,3.0
402,227,227,600,15.0
403,196,196,600,18.0
404,160,160,600,36.0
405,204,204,601,15.0
406,189,189,600,36.0
407,217,217,600,21.0
408,249,249,600,0.0
409,161,161,600,11.0
410,176,176,600,30.0
411,275,275,600,5.0
412,181,181,600,9.0
413,199,199,601,24.0
414,162,162,600,21.0
415,145,145,600,30.0
416,160,160,600,24.0
417,195,195,601,30.0
418,126,126,600,41.0
419,134,134,600,51.0
420,183,183,600,39.0
421,175,175,600,23.0
422,268,268,600,39.0
423,185,185,600,33.0
424,179,179,601,15.0
425,184,184,601,30.0
426,191,191,600,21.0
427,90,90,600,48.0
428,543,543,600,9.0
429,200,200,600,15.0
430,190,190,600,6.0
431,160,160,600,12.0
432,174,174,600,30.0
433,165,165,600,24.0
434,163,163,600,21.0
435,199,199,600,18.0
436,158,158,600,30.0
437,116,116,600,33.0
438,198,198,600,3.0
439,210,210,600,0.0
440,243,243,600,0.0
441,199,199,600,3.0
442,193,193,600,24.0
443,193,193,600,33.0
444,182,182,600,36.0
445,204,204,600,21.0
446,204,204,600,24.0
447,238,238,600,24.0
448,189,189,600,30.0
449,161,161,600,12.0
450,231,231,600,5.0
451,152,152,600,23.0
452,448,448,600,3.0
453,159,159,600,33.0
454,488,488,600,3.0
455,178,178,600,24.0
456,230,230,600,3.0
457,207,207,600,18.0
458,174,174,600,21.0
459,244,244,601,0.0
460,192,192,600,21.0
461,173,173,600,24.0
462,166,166,600,39.0
463,462,462,600,0.0
464,127,127,600,27.0
465,264,264,600,5.0
466,450,450,600,0.0
467,161,161,600,23.0
468,259,259,600,3.0
469,526,526,600,12.0
470,152,152,601,33.0
471,124,124,600,30.0
472,507,507,600,9.0
473,188,188,600,23.0
474,430,430,600,0.0
475,152,152,600,30.0
476,111,111,600,54.0
477,240,240,600,21.0
478,157,157,600,39.0
479,147,147,600,24.0
480,261,261,600,3.0
481,198,198,600,12.0
482,274,274,600,0.0
483,269,269,600,3.0
484,162,162,600,57.0
485,219,219,600,18.0
486,456,456,600,0.0
487,93,93,601,33.0
488,198,198,600,30.0
489,180,180,601,36.0
490,82,82,601,51.0
491,175,175,600,30.0
492,247,247,601,0.0
