num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_episodes,env_runners/weights_seq_no,env_runners/episode_return_mean,env_runners/blue_team_score_mean,env_runners/num_episodes_lifetime,env_runners/episode_len_max,env_runners/episode_return_max,env_runners/env_step_timer,env_runners/episode_len_min,env_runners/time_between_sampling,env_runners/connector_pipeline_timer,env_runners/episode_duration_sec_mean,env_runners/episode_len_mean,env_runners/red_team_score_mean,env_runners/rlmodule_inference_timer,env_runners/env_to_module_sum_episodes_length_out,env_runners/sample,env_runners/num_env_steps_sampled,env_runners/env_reset_timer,env_runners/episode_return_min,env_runners/env_to_module_sum_episodes_length_in,env_runners/num_env_steps_sampled_lifetime,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled/shared_policy,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/module_episode_returns_mean/shared_policy,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_steps/red_robot_0,env_runners/agent_steps/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,learners/shared_policy/vf_explained_var,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/mean_kl_loss,learners/shared_policy/policy_loss,learners/shared_policy/total_loss,learners/shared_policy/entropy,learners/shared_policy/weights_seq_no,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/num_trainable_parameters,learners/shared_policy/num_module_steps_trained,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/curr_kl_coeff,learners/shared_policy/vf_loss,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/batch_individual_items,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items
1,9071.0,False,1,987fb_00000,2026-03-15_21-24-21,1773624261,25.29303288459778,25.29303288459778,1214568,dh-node6,10.199.0.6,25.29303288459778,1,25.278094021137804,2.8487062081694603e-05,25.27761025703512,6.745552225038409,18.493695759912953,0.03369052102789283,28.0,0.0,15.348214285714283,0.0,70.0,389,43.25,0.01443827102651509,45,0.1621824526999301,0.0023503866574214106,1.1977263253647834,154.53571428571425,15.63185532142857,0.0010843080240947136,95.26094204377478,0.9457953337967416,4327.0,0.0037417350581165853,-9.5,95.26094204377478,9071.0,nan,7,0,7,11.368571428571428,11.677142857142856,0.15657142857142858,0.012758556547619048,0.002734191941260984,4789.000000000002,0.00040745306587383764,9995.000000000002,2335.0000000000005,2454.000000000001,8.053571428571429,7.2946428571428585,8.053571428571429,83.39285714285712,87.64285714285712,5020.000000000002,4975.0,0,4915472,4327,4327,145408,423089,4915472,145408,nan,nan,0.13813317,0.001,0.021508386,0.04982223,3.7532,1.7537746,1.0,1.0,0.05,128.0,423089,145408,145408,0.30000001192092896,3.7867649,17.614004,nan,2.0506335735803338e-05,0.00016488425978138444,4.623293917358388e-05,1.7887331029092558e-05,0.000177233537005061,0.00012838647753453449,0.27680498687550426,0.0017993496672757743,2.459807694189003e-05,9.229455939407762e-06,0.0004928082613498255,3.7868594172491532e-06,0.0001363538620639514,4.795534411677622e-05,6.632199660854881e-05,1.977183903797782e-05,1.1078471486478496e-05,8.902001918942301e-05,4.442442096533516e-05,1.1168217303003773e-05,4.402804188430309e-05,1.1445023119449615e-05,0.002066890010610223,0.001802312908694148,0.07779930485412478,0.01879233098588884,0.1141105080023408,0.00433967006392777,0.056525224121287465
1,13336.000000000005,False,2,987fb_00000,2026-03-15_21-25-12,1773624312,50.85197901725769,76.14501190185547,1214568,dh-node6,10.199.0.6,76.14501190185547,2,25.533704545937944,2.877871273085475e-05,25.533218012785074,6.978640006887726,18.516283173544796,0.03359557010699063,28.0,1.0,24.99107142857143,0.0,98.0,616,57.0,0.007769652698165088,35,0.48247344330947134,0.00228817193916163,2.035393164077374,152.32142857142858,16.247066382447265,0.0006246356823791802,134.95837397387388,0.988150778121199,4265.0,0.003770698032911526,0.0,134.95837397387388,13336.000000000005,87.69447098322922,7,0,7,9.844927536231886,11.96376811594203,0.0891304347826087,0.0157806838768116,0.0006613705407764828,5617.999999999999,0.00031851706065069696,15612.999999999996,2919.0,2699.000000000001,13.66964285714286,11.321428571428575,13.66964285714286,104.25,96.39285714285712,7719.000000000004,7893.999999999997,0,10587922,4326.379999999999,4326.379999999999,315648,423089,5672450,170240,nan,nan,0.19775409,0.001,0.020165363,0.03300977,2.2266066,1.8966677,2.0,1.0,0.05,128.0,423089,170240,315648,0.45000001788139343,2.2823806,14.711044,nan,2.05226696717717e-05,0.0001638135537233716,4.600586768404912e-05,1.7996448631033e-05,0.00017669474365155304,0.0001268762570574086,0.2783122443570755,0.00030861479167236495,1.6148084826355574e-05,7.875255619354964e-06,9.315165728635503e-05,3.1974742897179105e-06,4.7246859247331504e-05,3.5938375108587035e-05,5.513055168403657e-05,1.606840496022408e-05,8.945084822929386e-06,6.950596461052882e-05,3.716128932420449e-05,9.04382589239575e-06,4.3868061620742086e-05,1.1441612150520088e-05,0.0020591818913817408,0.001795977291185409,0.07787017889553681,0.018715049144811927,0.1130711399926804,0.004347091794479638,0.05909451800864189
1,18210.000000000007,False,3,987fb_00000,2026-03-15_21-26-19,1773624379,67.2174768447876,143.36248874664307,1214568,dh-node6,10.199.0.6,143.36248874664307,3,25.95036238256718,2.8710326575674118e-05,25.949872464669053,7.290795339988218,18.62073795058101,0.033596148106968024,28.0,2.0,22.25892857142857,0.0,126.0,886,51.75,0.009151977666864403,26,0.870458572629245,0.002226688590285307,2.8110017583156672,174.07142857142856,16.891875585469695,0.0006386054246711497,152.35973280579282,1.0469583886427039,4874.0,0.0037790023907940773,0.0,152.35973280579282,18210.000000000007,87.43808142842894,7,0,7,10.116304347826086,12.099999999999993,0.0909782608695652,0.017504528985507247,0.0006635090578553338,7001.000000000002,0.00032434622645612077,22614.000000000007,3525.000000000001,3476.000000000001,10.9375,11.321428571428575,10.9375,125.89285714285712,124.14285714285712,11195.0,11419.0,0,18649518,4331.856199999999,4331.856199999999,527360,423089,8061596,211712,119901.88497731237,3148.775295067255,0.17664593,0.001,0.0205844,0.10592541,2.1973736,1.9603983,3.0,1.0,0.05,128.0,423089,211712,527360,0.675000011920929,2.180205,8.644954,3148.7020525668086,2.0431057375068365e-05,0.00016199826853703682,4.5685469110056085e-05,1.794585958317332e-05,0.00017584297176613124,0.00012507507094540392,0.27786940711413044,0.00030754072374842835,1.644182380360044e-05,7.978208091091605e-06,9.308946693023766e-05,3.290092598139282e-06,4.830098660493647e-05,3.6155888650467986e-05,5.6100305545479775e-05,1.6771713446555248e-05,9.014843301893081e-06,7.115761807926624e-05,3.815851810483981e-05,9.37731181995125e-06,4.377317174803466e-05,1.1425864999182523e-05,0.0020542076116427783,0.0017960910179419442,0.07819282924595755,0.01875349781238474,0.11206450086229014,0.004361979267350398,0.05929609025777317
1,23096.000000000015,False,4,987fb_00000,2026-03-15_21-27-07,1773624427,47.26317381858826,190.62566256523132,1214568,dh-node6,10.199.0.6,190.62566256523132,4,26.16332221674033,2.9205564540578055e-05,26.162826724022917,7.438767606268593,18.685771947675427,0.03351981758537934,28.0,3.0,19.375,0.0,154.0,771,50.0,0.006012036800899427,33,1.3723478117031769,0.0021738448945744205,1.7856709842287406,174.5,17.517806603818602,0.0006225740567559174,137.26757921769118,1.093284152602628,4886.0,0.003820230776922579,-7.75,137.26757921769118,23096.000000000015,87.84130155560854,7,0,7,10.561538461538461,12.099999999999998,0.11107692307692309,0.0185546875,0.0006561422134614347,6046.0,0.00031859032359505196,28660.0,2960.0,3086.0,9.25,10.125,9.25,105.71428571428574,110.21428571428574,14280.999999999996,14379.0,0,25641384,4337.397637999999,4337.397637999999,710528,423089,6991866,183168,121293.91834405238,3184.8597749059923,0.22336763,0.001,0.020372523,0.010827558,2.1250877,1.848796,4.0,1.0,0.05,128.0,423089,183168,710528,1.0125000476837158,2.1929486,10.430984,3184.7898693305688,2.0580960554633666e-05,0.00016210862595497094,4.5720716339163764e-05,1.805376221290108e-05,0.00017577128318471504,0.00012415973529927228,0.27717051889350613,0.00030352545544723924,1.622265703291223e-05,7.803995871844843e-06,9.284121250764969e-05,3.167495478336753e-06,4.6171332627105224e-05,3.595693595485176e-05,5.516219606806928e-05,1.59352381758757e-05,8.967996346241262e-06,6.985624414138479e-05,3.638132685266525e-05,9.091606007995435e-06,4.3689000347862026e-05,1.1402028457960115e-05,0.002048021756598726,0.0017975284487179014,0.07837781018325338,0.018792113755341153,0.1110521702546717,0.00437000504371454,0.05939114642642018
1,27678.000000000015,False,5,987fb_00000,2026-03-15_21-27-53,1773624473,46.6769814491272,237.30264401435852,1214568,dh-node6,10.199.0.6,237.30264401435852,5,26.368309897462332,2.9189019724114335e-05,26.36780970208284,7.605361512676612,18.724198954469145,0.03344767850919605,28.0,4.0,22.71428571428572,0.0,182.0,742,57.0,0.006730193385918089,44,1.7255392077917744,0.002115120619361019,1.8881171729881316,163.64285714285717,18.081787067936943,0.0006312427990344306,143.3096005190706,1.1245635561852454,4582.0,0.0038389619058718854,-10.75,143.3096005190706,27678.000000000015,88.09471629174264,7,0,7,10.26875,12.099999999999998,0.09703125,0.0185546875,0.000672737312096252,5616.0,0.00032517206039900593,34275.99999999999,2746.999999999999,2869.0,10.348214285714286,12.366071428571425,10.348214285714286,98.10714285714288,102.46428571428574,17150.0,17126.000000000007,0,31735444,4339.843661619998,4339.843661619998,880768,423089,6094060,170240,121750.4814002333,3207.7950295475157,0.13202065,0.001,0.020541474,-0.11402701,2.7569227,1.7825904,5.0,1.0,0.05,128.0,423089,170240,880768,1.5187500715255737,2.9392812,21.400625,3207.7343985984826,2.0527044403476828e-05,0.00016054846324509137,4.534379873183932e-05,1.8033603867217046e-05,0.00017452598078047878,0.00012229647692669484,0.2783617975056007,0.0003115343415596426,1.6257742560915992e-05,7.975461787421022e-06,9.497743538078788e-05,3.365405339922304e-06,4.804140417674947e-05,3.654679434109627e-05,5.583138027483259e-05,1.6284874533375196e-05,9.094601787285798e-06,7.06363794851052e-05,3.738372921170963e-05,9.202059450183248e-06,4.353209152168362e-05,1.1380407014314551e-05,0.0020405045504279253,0.001795848843609977,0.07849285794060615,0.01876379548848676,0.11004244277246822,0.004374474323971176,0.061519549590928424
1,32098.000000000015,False,6,987fb_00000,2026-03-15_21-28-51,1773624531,57.28652882575989,294.5891728401184,1214568,dh-node6,10.199.0.6,294.5891728401184,6,26.677324307837964,2.979993034764107e-05,26.676817159620423,7.853403386799876,18.785189162716257,0.03340023905524934,21.0,5.0,28.821428571428566,0.0,203.0,849,63.0,0.007339635182309221,43,2.0593084651175784,0.002072551611430633,2.674234660486469,210.47619047619042,18.640707738371496,0.000626804912222159,178.63302272384388,1.163544494332745,4420.0,0.003864788793910865,-4.0,178.63302272384388,32098.000000000015,87.68955400527712,7,0,7,9.811538461538463,12.1,0.09576923076923076,0.0185546875,0.000659626530114925,6350.0,0.00031986762914645747,40625.99999999999,3155.000000000001,3195.000000000001,12.130952380952381,16.690476190476197,12.130952380952381,150.23809523809524,152.14285714285717,20345.0,20281.00000000002,0,38361024,4340.645225003797,4340.645225003797,1072640,423089,6625580,191872,121419.64279138764,3214.1116066699224,0.22558296,0.001,0.02280314,0.010964155,1.6858443,1.8979107,6.0,1.0,0.05,128.0,423089,191872,1072640,2.278125047683716,1.7351433,9.20334,3214.0495827634,2.0702335200809403e-05,0.00016067111830232302,4.5272976175777225e-05,1.813741985567126e-05,0.00017453010920591728,0.00012245596679740265,0.2775352509005242,0.0003064766636460889,1.6700372585140806e-05,7.773036490648309e-06,9.235973889481929e-05,3.208161854480437e-06,4.839946904374085e-05,3.5768489087354296e-05,5.523437434245246e-05,1.6601762790150196e-05,8.761042208042044e-06,7.014778674342669e-05,3.801331508462293e-05,9.069417258316615e-06,4.393220886541272e-05,1.1367074023520923e-05,0.0020366663854366287,0.0017858054445464228,0.07865085252007295,0.018674216352441386,0.10905568059554918,0.004390036421143783,0.06161815235440407
1,37081.00000000003,False,7,987fb_00000,2026-03-15_21-29-58,1773624598,67.18780040740967,361.7769732475281,1214568,dh-node6,10.199.0.6,361.7769732475281,7,27.08231583792027,2.9732112075093746e-05,27.08180657981474,8.155320814362517,18.88832640369878,0.03332571656598455,21.0,6.0,23.630952380952387,0.0,224.0,875,56.5,0.008228000211682353,40,2.4529264115481633,0.0020396118921588205,3.654825009738227,237.28571428571425,19.111710363548404,0.000619538813054511,196.46874540156048,1.2120932406075446,4983.000000000001,0.003879500881231983,-7.0,196.46874540156048,37081.00000000003,87.26239419227676,7,0,7,10.694565217391304,12.099999999999993,0.09902173913043476,0.019437839673913045,0.0006521032026695722,7519.000000000001,0.00031835995365550173,48145.0,3755.999999999999,3763.0,12.0,11.630952380952381,12.0,178.8571428571428,179.19047619047618,24107.99999999999,24037.00000000002,0,47195883,4347.068772753759,4347.068772753759,1299584,423089,8834859,226944,121919.02171831772,3222.1810136339354,0.28187156,0.001,0.020592317,-0.019502107,1.3408355,1.9629035,7.0,1.0,0.05,128.0,423089,226944,1299584,3.4171876907348633,1.4115709,10.317712,3222.1224597181567,2.076049373251218e-05,0.00015990977758370385,4.52037734051039e-05,1.808824217075378e-05,0.00017378962163002075,0.00012837414885867525,0.2779821976213383,0.000302431892188086,1.6110102556008387e-05,7.74200525747107e-06,9.150718455829816e-05,3.2296146620705007e-06,4.763330539608621e-05,3.586742737975333e-05,5.5641505304833286e-05,1.609805438802156e-05,8.840580030551604e-06,7.119995668667826e-05,3.7113455696199513e-05,9.02814000885483e-06,4.468102620793716e-05,1.1396652336793757e-05,0.0020400308126420066,0.0017795121207675362,0.07946234408357883,0.01864106169832929,0.10813192034952726,0.0044363202477085435,0.06217377346011106
1,41429.000000000044,False,8,987fb_00000,2026-03-15_21-30-34,1773624634,35.400002241134644,397.1769754886627,1214568,dh-node6,10.199.0.6,397.1769754886627,8,27.165375615812906,3.048607951810094e-05,27.16486234728547,8.221365678707219,18.905415247371177,0.03321900896006319,35.0,7.0,32.699999999999996,0.0,259.0,421,62.5,0.0082176098949013,31,2.8636730617449304,0.001988895103606224,1.3923285710093163,124.22857142857147,19.935418265082642,0.0006507141433078474,111.10725789787459,1.2534554439574959,4348.000000000001,0.0038982100854608372,0.0,111.10725789787459,41429.000000000044,87.84795474710334,7,0,7,11.010416666666666,12.1,0.12166666666666666,0.02063802083333333,0.000677986454553262,5052.000000000002,0.00032986300611068873,53197.00000000003,2386.9999999999995,2665.0000000000005,15.64285714285714,17.057142857142853,15.64285714285714,68.20000000000002,76.14285714285712,26772.999999999978,26424.000000000007,0,52417831,4347.078085026221,4347.078085026221,1453312,423089,5221948,153728,123191.66375016433,3277.995888857573,0.3570798,0.001,0.020719867,-0.065544896,3.8789577,1.9165831,8.0,1.0,0.05,128.0,423089,153728,1453312,5.125781536102295,3.969528,27.293219,3277.9400026491653,2.0779703367744702e-05,0.00015922021175730997,4.504519948874865e-05,1.8138469872747124e-05,0.0001731671741887845,0.00012671188325027267,0.2792349813360065,0.0003163366707270626,1.643253748644305e-05,8.062314038376026e-06,9.614327271422619e-05,3.3240352784862784e-06,4.8000962087178826e-05,3.607856329721583e-05,5.669958149583066e-05,1.7032469641386895e-05,9.12232913486315e-06,7.21544372897026e-05,3.8597179973366474e-05,9.341757599195554e-06,4.473175640489462e-05,1.1379005522398989e-05,0.002037157254968403,0.0017824078183427566,0.07948427282074592,0.018653624272782377,0.10714180880676664,0.004434796374921199,0.06439187231550199
1,45887.00000000003,False,9,987fb_00000,2026-03-15_21-31-27,1773624687,53.17727589607239,450.3542513847351,1214568,dh-node6,10.199.0.6,450.3542513847351,9,27.42533858286393,3.0389958379874935e-05,27.42482169001213,8.42007581843047,18.966716260216515,0.033120515672050495,28.0,8.0,26.392857142857153,0.0,287.0,616,63.75,0.008291292822465931,39,3.048844466085824,0.0019393580123202015,2.083785282630873,159.21428571428575,20.73604086286729,0.000645894428133533,122.61017547461526,1.2741934215006612,4457.999999999999,0.003947313961452966,-5.75,122.61017547461526,45887.00000000003,88.02540385698006,7,0,7,9.890410958904107,12.105479452054794,0.09931506849315068,0.02063802083333333,0.0006793516731636459,5932.999999999999,0.00033155347244412354,59130.00000000002,3165.0,2767.999999999999,14.196428571428577,12.196428571428575,14.196428571428577,113.03571428571426,98.85714285714288,29540.999999999964,29589.000000000004,0,58676863,4348.187304175958,4348.187304175958,1633024,423089,6259032,179712,122913.43084617153,3282.9638249603945,0.18527788,0.001,0.011891106,-0.068403855,2.8177326,1.8458472,9.0,1.0,0.05,128.0,423089,179712,1633024,5.125781536102295,2.9174776,20.369823,3282.909943047684,2.0958478719024513e-05,0.00015875726977088641,4.550271110003113e-05,1.837636577603131e-05,0.0001735161150116429,0.00012557864511639436,0.2789935690630099,0.00031371879963436073,1.6748062898280493e-05,8.09927010664558e-06,9.600603329731078e-05,3.404196011401359e-06,4.898288038312755e-05,3.67464880299397e-05,5.6987889263076175e-05,1.6739267499511935e-05,9.383986440886567e-06,7.214928063420822e-05,3.841511049652207e-05,9.444776051155954e-06,4.4631286650696845e-05,1.139231538723921e-05,0.002033881202579811,0.0017800001090014538,0.07991162584357218,0.01861757779061733,0.10620576518838155,0.004464277110704884,0.06467961331271938
1,50742.000000000015,False,10,987fb_00000,2026-03-15_21-32-16,1773624736,49.33297801017761,499.6872293949127,1214568,dh-node6,10.199.0.6,499.6872293949127,10,27.644289178565675,3.0253338300315746e-05,27.643771288080888,8.583707635726153,19.022017128926223,0.033080209265866134,28.0,9.0,26.59821428571428,0.0,315.0,811,69.75,0.006814176456017485,51,3.3403782428084297,0.0018965528314277176,1.9678944598085117,173.3928571428572,21.410055074281562,0.0006338487662055859,130.46537990471253,1.3007495653046657,4854.999999999999,0.0039795158354309045,-2.0,130.46537990471253,50742.000000000015,88.48921807081734,7,0,7,10.291044776119403,12.104477611940297,0.10328358208955223,0.020638020833333333,0.0006719223005069591,6051.000000000001,0.00032843188249134195,65181.00000000003,3201.999999999999,2849.0,14.116071428571423,12.48214285714286,14.116071428571423,114.35714285714288,101.75,32389.999999999975,32791.00000000001,0,65629223,4353.255431134199,4353.255431134199,1816320,423089,6952360,183296,123810.55554984028,3304.4947084869723,0.11930674,0.001,0.010369321,-0.08425077,2.8653224,1.8118494,10.0,1.0,0.05,128.0,423089,183296,1816320,5.125781536102295,2.9870145,26.39907,3304.4452955865904,2.1063563011383328e-05,0.00015824024178162993,4.571366803223454e-05,1.8459029608165973e-05,0.00017353369937662797,0.0001249228942467431,0.2782586769039616,0.0003089344132833739,1.6515636672192645e-05,8.066205416694016e-06,9.518306651484397e-05,3.325817479934283e-06,4.75113535454556e-05,3.597281760416176e-05,5.609007115985562e-05,1.659453029242103e-05,9.317895336382681e-06,7.085416088874396e-05,3.7877118419540304e-05,9.396947017564899e-06,4.457727246398872e-05,1.1378842357958407e-05,0.0020285762605581304,0.0017804137879254536,0.08008583472404807,0.018651559123309094,0.105251883105246,0.004471757148590698,0.0646960745395849
