num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_env_runners,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_return_min,env_runners/episode_len_mean,env_runners/episode_len_min,env_runners/connector_pipeline_timer,env_runners/sample,env_runners/episode_len_max,env_runners/time_between_sampling,env_runners/env_to_module_sum_episodes_length_in,env_runners/num_episodes,env_runners/env_to_module_sum_episodes_length_out,env_runners/env_reset_timer,env_runners/env_step_timer,env_runners/episode_return_max,env_runners/episode_duration_sec_mean,env_runners/red_team_score_mean,env_runners/episode_return_mean,env_runners/blue_team_score_mean,env_runners/weights_seq_no,env_runners/num_episodes_lifetime,env_runners/rlmodule_inference_timer,env_runners/num_env_steps_sampled_lifetime_throughput,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/module_to_env_connector/connector_pipeline_timer,env_runners/env_to_module_connector/connector_pipeline_timer,env_runners/num_agent_steps_sampled_lifetime/red_robot_0,env_runners/num_agent_steps_sampled_lifetime/red_robot_1,env_runners/module_episode_returns_mean/shared_policy,env_runners/agent_episode_returns_mean/red_robot_1,env_runners/agent_episode_returns_mean/red_robot_0,env_runners/num_module_steps_sampled/shared_policy,env_runners/num_module_steps_sampled_lifetime/shared_policy,env_runners/num_agent_steps_sampled/red_robot_1,env_runners/num_agent_steps_sampled/red_robot_0,env_runners/agent_steps/red_robot_1,env_runners/agent_steps/red_robot_0,learners/shared_policy/curr_kl_coeff,learners/shared_policy/num_trainable_parameters,learners/shared_policy/module_train_batch_size_mean,learners/shared_policy/total_loss,learners/shared_policy/mean_kl_loss,learners/shared_policy/curr_entropy_coeff,learners/shared_policy/num_module_steps_trained_lifetime,learners/shared_policy/vf_loss,learners/shared_policy/diff_num_grad_updates_vs_sampler_policy,learners/shared_policy/policy_loss,learners/shared_policy/weights_seq_no,learners/shared_policy/vf_explained_var,learners/shared_policy/entropy,learners/shared_policy/num_module_steps_trained,learners/shared_policy/default_optimizer_learning_rate,learners/shared_policy/vf_loss_unclipped,learners/shared_policy/num_module_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/learner_connector_sum_episodes_length_out,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/learner_connector_sum_episodes_length_in,learners/__all_modules__/num_module_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime_throughput,learners/__all_modules__/num_module_steps_trained_lifetime_throughput,env_runners/timers/connectors/add_observations_from_episodes_to_batch,env_runners/timers/connectors/numpy_to_tensor,env_runners/timers/connectors/add_states_from_episodes_to_batch,env_runners/timers/connectors/agent_to_module_mapping,env_runners/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/connector_pipeline_timer,env_runners/module_to_env_connector/timers/connectors/module_to_agent_unmapping,env_runners/module_to_env_connector/timers/connectors/listify_data_for_vector_env,env_runners/module_to_env_connector/timers/connectors/un_batch_to_individual_items,env_runners/module_to_env_connector/timers/connectors/tensor_to_numpy,env_runners/module_to_env_connector/timers/connectors/get_actions,env_runners/module_to_env_connector/timers/connectors/normalize_and_clip_actions,env_runners/module_to_env_connector/timers/connectors/remove_single_ts_time_rank_from_batch,env_runners/env_to_module_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,env_runners/env_to_module_connector/timers/connectors/agent_to_module_mapping,env_runners/env_to_module_connector/timers/connectors/batch_individual_items,env_runners/env_to_module_connector/timers/connectors/add_observations_from_episodes_to_batch,env_runners/env_to_module_connector/timers/connectors/numpy_to_tensor,env_runners/env_to_module_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/numpy_to_tensor,learners/__all_modules__/learner_connector/timers/connectors/batch_individual_items,learners/__all_modules__/learner_connector/timers/connectors/add_one_ts_to_episodes_and_truncate,learners/__all_modules__/learner_connector/timers/connectors/add_states_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/agent_to_module_mapping,learners/__all_modules__/learner_connector/timers/connectors/add_columns_from_episodes_to_train_batch,learners/__all_modules__/learner_connector/timers/connectors/add_observations_from_episodes_to_batch,learners/__all_modules__/learner_connector/timers/connectors/add_time_dim_to_batch_and_zero_pad,learners/__all_modules__/learner_connector/timers/connectors/general_advantage_estimation
1,11102.0,False,1,65da7_00000,2026-03-18_17-44-22,1773870262,73.02768969535828,73.02768969535828,1835406,dh-node2,10.199.0.2,73.02768969535828,1,73.01494904095307,3.890739753842354e-05,73.0142981717363,37.572714269161224,35.408787136897445,0.02464674273505807,4886.0,11102.0,-12.0,174.5,31,0.0018265026513997998,0.8349287737004094,755,0.34155042862448226,157.72117883431676,28.0,157.72117883431676,0.005217861576289372,0.022374699881381747,66.0,2.988192091962056,31.31645517857143,21.52678571428572,0.0,0.0,70.0,0.001263221173588002,nan,7,0,7,5.005,12.849000000000006,0.0883,0.012046874999999997,0.0013053557914452327,0.0003950208213684625,8910.0,9121.0,11.366071428571425,11.366071428571425,10.160714285714286,7974.999999999999,18031.0,4069.999999999999,3905.0000000000005,145.35714285714286,139.46428571428575,0.30000001192092896,423089,128.0,1.4541452,0.048010442,0.05,241024,1.5156838,1.0,0.032035,1.0,0.23227578,2.063516,241024,0.001,13.022992,nan,241024,4886,0,423089,4886,241024,9200338,9200338,nan,nan,0.00012989467300514556,0.00018124683775910772,2.9682181115777766e-05,2.6838235207949766e-05,5.140416197887888e-05,0.00028637427366975634,0.4607107047922909,9.714500834843027e-06,2.3641999128402655e-05,4.759626671278104e-05,0.00021108951870330578,0.0005697327102886912,0.00022153289515946647,3.827732394723965e-06,1.8448572877632797e-05,1.183432713706642e-05,6.54775281414703e-05,4.622936130242792e-05,7.682042111457993e-05,1.0419605647132131e-05,0.003105319105088711,0.13471985096111894,0.016854756977409124,1.4314893633127213e-05,0.00855265324935317,0.16983112785965204,0.0018803509883582592,8.624373003840446e-05,0.12467771722003818
1,17028.000000000007,False,2,65da7_00000,2026-03-18_17-45-52,1773870352,90.63722491264343,163.6649146080017,1835406,dh-node2,10.199.0.2,163.6649146080017,2,73.19103643919341,3.887450322508812e-05,73.19038300718181,37.69629696568009,35.461326058497654,0.024618310867808756,5926.0,17028.000000000007,0.0,169.31428571428572,25,0.001778368350731462,0.9219028149460994,860,0.967310384269392,166.7180369784921,35.0,166.7180369784921,0.005171786358221428,0.010768755734002365,60.75,2.6931112399990003,31.632743404305742,28.96428571428572,0.0,1.0,105.0,0.0005724660607743201,69.36373051282295,7,0,7,4.583064516129033,12.910483870967747,0.08322580645161289,0.01946299563172043,0.0006175197058017444,0.0002997974555249063,13455.999999999993,13454.000000000007,15.164285714285713,15.164285714285713,13.800000000000004,8878.999999999998,26910.0,4333.0,4545.999999999999,123.79999999999998,129.8857142857143,0.45000001788139343,423089,128.0,1.8660259,0.037264176,0.05,509568,1.9721092,1.0,-0.017134044,2.0,0.070367515,2.00257,268544,0.001,17.66829,nan,268544,4896.400000000001,0,423089,4896.400000000001,509568,21633086,12432748,nan,nan,0.0001277821910677343,0.00018046131872685386,2.9112521639678798e-05,2.6434376663208105e-05,5.100033281894582e-05,0.0002795914900716655,0.4608723139157519,7.272033155173397e-06,1.5566964981588386e-05,3.4210722151470546e-05,8.83745942686824e-05,0.00028068622708949184,4.76842605278095e-05,2.9788808631429297e-06,1.5360171802718846e-05,8.894189705066387e-06,5.2239776776753995e-05,3.506088456819866e-05,6.441052983991062e-05,8.737020342326527e-06,0.003095058365724981,0.13652370492927732,0.016821951828897,1.4261314645409583e-05,0.008531058174557984,0.16936302406247705,0.0018744473159313202,8.569400291889906e-05,0.12358118684031069
1,21499.00000000001,False,3,65da7_00000,2026-03-18_17-46-39,1773870399,46.89442563056946,210.55934023857117,1835406,dh-node2,10.199.0.2,210.55934023857117,3,72.92792345508309,3.871809989213943e-05,72.92726815749994,37.53490405746294,35.35958006989202,0.024655423066439103,4471.0,21499.00000000001,0.0,127.74285714285719,34,0.0017279867913962295,0.9823613381006648,765,1.5919051257778651,121.13974330740132,35.0,121.13974330740132,0.005135173302165227,0.009029472766535745,71.0,1.5932248289297737,32.17315973663748,35.45,0.0,2.0,140.0,0.0005923911332509791,69.4836365969057,7,0,7,4.887692307692308,12.94923076923077,0.10138461538461536,0.021419270833333334,0.0006465644182682002,0.0003151201185806509,16194.999999999995,16225.000000000011,19.56428571428571,19.56428571428571,15.885714285714293,5510.0,32420.000000000007,2771.000000000001,2738.9999999999995,79.17142857142858,78.25714285714284,0.675000011920929,423089,128.0,4.2633896,0.029675191,0.05,676992,4.349411,1.0,-0.011040458,3.0,0.29254055,1.766701,167424,0.001,38.576305,3567.9057355541895,167424,4892.146000000001,0,423089,4892.146000000001,676992,27481154,5848068,124625.79885088746,3567.8889415933772,0.00012617781970345184,0.00017893784321095296,2.8562822993287447e-05,2.611620911408229e-05,5.0641721211092236e-05,0.00027249839698684626,0.457933533406118,7.646132851798824e-06,1.791162880812577e-05,3.5386686610067524e-05,9.328622464320172e-05,0.00029475098130585443,4.722187767317566e-05,3.1627115331704557e-06,1.5832080410125532e-05,9.169265069883928e-06,5.489819870112669e-05,3.643677067440324e-05,6.83542140761904e-05,9.173596759947054e-06,0.0030779268255922945,0.13573662270838396,0.016763073031418024,1.4190511126071214e-05,0.00848489767438732,0.16848814949509688,0.0018699627604335546,8.51487020496279e-05,0.12243899337043986
1,26143.000000000022,False,4,65da7_00000,2026-03-18_17-47-34,1773870454,54.56585383415222,265.1251940727234,1835406,dh-node2,10.199.0.2,265.1251940727234,4,72.74416534408122,3.8607880257070067e-05,72.7435093604153,37.43907919442934,35.271683167925765,0.024624245223124976,4644.000000000001,26143.000000000022,0.0,165.85714285714283,46,0.0016932533483393316,1.028795387964396,857,1.9538080148287256,130.56467092882494,28.0,130.56467092882494,0.005153434025049533,0.008218572187749735,66.0,2.109332867681847,32.83525700167475,40.0,0.0,3.0,168.0,0.000574608624951235,70.36315485136947,7,0,7,4.705405405405405,12.974324324324327,0.09851351351351352,0.021419270833333337,0.0006255548353005658,0.000305400249297664,19502.0,19059.000000000007,20.366071428571427,20.366071428571427,19.633928571428573,6141.0,38561.0,2834.0,3306.999999999999,101.21428571428572,118.10714285714288,1.0125000476837158,423089,128.0,2.7488,0.022692781,0.05,862976,2.8654728,1.0,-0.038532972,4.0,0.3978992,1.869148,185984,0.001,27.919195,3559.756590528746,185984,4889.66454,0,423089,4889.66454,862976,34228886,6747732,124571.27267959353,3559.738372021804,0.00012603588743946857,0.00017940689612669443,2.8367995026547266e-05,2.6094241969268462e-05,5.0417299267784316e-05,0.0002678786423065345,0.4552422672612104,7.48780560141254e-06,1.6370673681944445e-05,3.4604190946610116e-05,9.047229117658783e-05,0.0002842009477954413,4.650005719207169e-05,3.070599776717493e-06,1.5756401466524233e-05,8.866403386493446e-06,5.3521072294627714e-05,3.5215277974601197e-05,6.587239327400078e-05,8.849483795628451e-06,0.0030625328386309557,0.1350379117224319,0.01673237356028892,1.4136732413433492e-05,0.008445219109110998,0.16771483666881687,0.0018648139647655189,8.484064640803263e-05,0.12131783203649986
1,30668.000000000022,False,5,65da7_00000,2026-03-18_17-48-29,1773870509,55.31992554664612,320.4451196193695,1835406,dh-node2,10.199.0.2,320.4451196193695,5,72.56980332855345,3.8418692359998825e-05,72.56914567532043,37.3550275240661,35.18139840397604,0.02460531715834186,4525.000000000001,30668.000000000022,-7.75,129.28571428571425,25,0.0016487722209109908,1.0564323351458509,640,2.281611894783113,110.40549602991125,35.0,110.40549602991125,0.005109516290868205,0.008832770719960704,66.75,1.7068584194939052,33.450546961755904,29.892857142857153,0.0,4.0,203.0,0.0005743249770416615,70.90880550911754,7,0,7,4.667105263157895,12.971052631578948,0.0863157894736842,0.021419270833333337,0.0006233694157812334,0.0003029253236928399,22356.0,21949.000000000007,14.60714285714286,14.60714285714286,15.285714285714283,5744.000000000001,44305.0,2889.9999999999995,2853.9999999999995,82.57142857142858,81.54285714285717,1.5187500715255737,423089,128.0,3.2792215,0.020003233,0.05,1037440,3.2937624,1.0,0.056305364,5.0,0.23887342,1.8219931,174464,0.001,17.850368,3539.370018993899,174464,4886.0178946,0,423089,4886.0178946,1037440,40396461,6167575,123914.15846981115,3539.3528420184102,0.00012419972279081913,0.00017767722799079562,2.7859385683037606e-05,2.5780795601073704e-05,4.979939074492999e-05,0.00026146219010140273,0.45557867919731704,7.490772944440405e-06,1.5611517742775017e-05,3.4348475154210706e-05,9.089642916496777e-05,0.0002853505537375094,4.520114268610362e-05,3.073889389688853e-06,1.5268482982831914e-05,8.734650109595998e-06,5.284140965684907e-05,3.500140486041576e-05,6.612911147598951e-05,8.777945982928444e-06,0.003045514398486712,0.13690153443773748,0.01676141306609778,1.4105736127616838e-05,0.008422573670366343,0.1673193156814865,0.0018664827248719706,8.434291083297226e-05,0.1202015945800124
1,36314.000000000015,False,6,65da7_00000,2026-03-18_17-49-33,1773870573,64.05234932899475,384.49746894836426,1835406,dh-node2,10.199.0.2,384.49746894836426,6,72.48448006115763,3.826031390784011e-05,72.48382228753516,37.30696868175485,35.144090620604686,0.024618767960406393,5646.0,36314.000000000015,-1.75,134.4285714285714,34,0.001601714918342154,1.0895799890452604,900,2.6151940621628786,108.09883714767663,42.0,108.09883714767663,0.00507176152160798,0.009003135577494997,66.0,1.7038486250454468,33.830948750364705,33.92857142857144,0.0,5.0,245.0,0.0005747025015377942,72.14692343799632,7,0,7,4.756818181818182,12.997727272727273,0.09443181818181817,0.021419270833333334,0.0006251656128035219,0.0003024183547233157,26218.99999999999,25400.999999999993,16.3452380952381,16.3452380952381,17.583333333333336,7315.0,51620.00000000005,3452.0,3863.0,82.19047619047618,91.97619047619045,1.5187500715255737,423089,128.0,3.4525404,0.015553225,0.05,1259520,3.6545527,1.0,-0.13344778,6.0,0.24940789,1.8437159,222080,0.001,36.248787,3535.2975858002746,222080,4893.617715654,0,423089,4893.617715654,1259520,50192271,9795810,125344.78373415215,3535.281685463698,0.00012266681204919057,0.00017653350938095025,2.7405577544546394e-05,2.5543551682401052e-05,4.965729229005222e-05,0.00025462658242826825,0.4542034471054279,7.4287527215811695e-06,1.5606881473224666e-05,3.443556738584275e-05,9.074673583677472e-05,0.00028533264194236787,4.546544496029677e-05,3.066002520387546e-06,1.525904907736286e-05,8.74284394483985e-06,5.289917220350224e-05,3.485454479463601e-05,6.554666460686867e-05,8.791032304323565e-06,0.003034588893313791,0.13669522810039975,0.01681645214653124,1.4072861196608003e-05,0.00841659116972014,0.16715739802752475,0.0018713952971751195,8.399502449675682e-05,0.1191576490252563
1,41690.00000000001,False,7,65da7_00000,2026-03-18_17-50-42,1773870642,68.463139295578,452.96060824394226,1835406,dh-node2,10.199.0.2,452.96060824394226,7,72.44413943772524,3.805885300952442e-05,72.44348151867722,37.29395694073359,35.11678797949709,0.024597398020601947,5376.000000000001,41690.00000000001,0.0,153.59999999999997,27,0.0015625391161141957,1.1273561395589926,857,2.972304668595052,135.87269820589398,35.0,135.87269820589398,0.005067866693560792,0.008984109912216218,66.0,2.055619219158377,34.544312175821865,32.64285714285715,0.0,6.0,280.0,0.0005729968217597544,72.51763397245504,7,0,7,4.679569892473118,12.993548387096775,0.09118279569892475,0.021419270833333337,0.0006195745139820889,0.0003000458338018603,29988.999999999993,28881.000000000007,17.09285714285715,17.09285714285715,15.550000000000006,7249.999999999999,58870.000000000044,3480.0000000000005,3770.0,99.4285714285714,107.71428571428574,1.5187500715255737,423089,128.0,2.9391572,0.011904511,0.05,1479168,2.9707158,1.0,0.042836245,7.0,0.20491076,1.8494984,219648,0.001,27.799099,3518.7969995536682,219648,4898.44153849746,0,423089,4898.44153849746,1479168,59417487,9225216,125808.62591660205,3518.7830460896485,0.00012161588646499461,0.0001766664900164358,2.7146144671775245e-05,2.5442871612177214e-05,4.928330455589007e-05,0.0002489648082805761,0.45547716752574685,7.351984044160328e-06,1.5871245425462906e-05,3.43871756534366e-05,9.053120238594926e-05,0.000283088558777942,4.511927000934558e-05,3.0413602456135016e-06,1.5237308177739619e-05,8.671259128144586e-06,5.2670328968416685e-05,3.457677010930693e-05,6.517379164678433e-05,8.65620423418983e-06,0.0030230454851527906,0.13906801457711782,0.016870087926289922,1.4053511855791558e-05,0.0084118218067039,0.1670622256478637,0.0018731398748380098,8.404030101557414e-05,0.11811917779860201
1,46596.999999999985,False,8,65da7_00000,2026-03-18_17-51-59,1773870719,77.36665058135986,530.3272588253021,1835406,dh-node2,10.199.0.2,530.3272588253021,8,72.49318872352009,3.782840764829581e-05,72.49253081488146,37.34009282554829,35.11976782268399,0.02456059259933622,4907.000000000001,46596.999999999985,0.0,233.6666666666666,40,0.0015340240415442044,1.1999308251629386,900,3.483325620552532,209.36801660381101,21.0,209.36801660381101,0.005061512621215291,0.01024164343518164,63.0,3.822750821066577,34.65159405317674,22.380952380952387,0.0,7.0,301.0,0.0005566799335224326,72.1895661453447,7,0,7,4.638679245283019,12.991509433962264,0.08726415094339621,0.021419270833333334,0.0006055885022949511,0.0002962029225163272,34002.999999999985,32862.00000000001,10.047619047619046,10.047619047619046,12.333333333333336,7994.999999999998,66865.00000000006,3980.9999999999995,4014.000000000001,189.57142857142856,191.1428571428572,1.5187500715255737,423089,128.0,0.99357873,0.005889132,0.05,1720320,1.0004117,1.0,0.08330382,8.0,0.2994029,1.9816175,241152,0.001,2.9604151,3498.6414903075574,241152,4898.527123112485,0,423089,4898.527123112485,1720320,68662275,9244788,125490.3508485355,3498.6269634095247,0.00012052998827248541,0.00017690514240647863,2.701957812568818e-05,2.5242671357924026e-05,4.897734241160364e-05,0.00024475725482953634,0.45444264490898184,7.136359262245205e-06,1.5708755892893637e-05,3.4546051838595154e-05,8.755623232939283e-05,0.0002750140299114117,4.643473630974122e-05,2.9099651222672723e-06,1.5061486784196792e-05,8.631829557155208e-06,5.3606920386578666e-05,3.4994797857679736e-05,6.390057159569361e-05,8.41513194002383e-06,0.0030146164582393067,0.13893498721138772,0.016871915977638933,1.4100535790535452e-05,0.00841274882759367,0.16718695037975012,0.0018680271176225872,8.377906888812028e-05,0.11710929486403494
1,52242.000000000044,False,9,65da7_00000,2026-03-18_17-53-04,1773870784,64.88717722892761,595.2144360542297,1835406,dh-node2,10.199.0.2,595.2144360542297,9,72.41692956408765,3.762158471441243e-05,72.41627162056189,37.272272533453254,35.11127921652641,0.024603989353562568,5645.000000000001,52242.000000000044,-2.75,161.28571428571425,35,0.0015071499279805185,1.2506210297551865,863,3.9608853844084355,168.25076272410533,35.0,168.25076272410533,0.0050471982861445604,0.00822289845938144,69.0,1.8401596724321796,34.6449464111699,25.678571428571434,0.0,8.0,336.0,0.0005781807150092527,72.85339460006286,7,0,7,4.631460674157303,13.0,0.09921348314606741,0.021419270833333334,0.0006267245637736123,0.00030417752323924743,37797.99999999999,36522.999999999985,12.50714285714286,12.50714285714286,13.171428571428574,7455.999999999999,74321.00000000006,3660.9999999999995,3795.0000000000005,104.59999999999997,108.42857142857139,1.5187500715255737,423089,128.0,2.39671,0.009238599,0.05,1946112,2.6019688,1.0,-0.12616776,9.0,0.2540515,1.8624482,225792,0.001,28.36683,3497.6421441712855,225792,4905.99185188136,0,423089,4905.99185188136,1946112,78620055,9957780,126886.53877431335,3497.6282338781243,0.00011980398264807774,0.00017753474012085506,2.6787040323640063e-05,2.5112528407482103e-05,4.8764124530005715e-05,0.00024085779613801066,0.45309796889170534,7.348110643870539e-06,1.5913736855156073e-05,3.499629060172699e-05,9.122202082295137e-05,0.0002867974176820555,4.669415454786603e-05,3.0014696919739763e-06,1.544758453929586e-05,8.862212001671935e-06,5.376679750378461e-05,3.518469355554277e-05,6.597539779074513e-05,8.742798926674376e-06,0.003003415234186677,0.13868252594015973,0.016925835328030145,1.4062381041157757e-05,0.008407301062982852,0.16707252294686892,0.0018693424492254517,8.372650885818748e-05,0.1160982635625788
1,56899.000000000015,False,10,65da7_00000,2026-03-18_17-54-02,1773870842,57.64780330657959,652.8622393608093,1835406,dh-node2,10.199.0.2,652.8622393608093,10,72.26912667273709,3.7521161421289186e-05,72.26846578162642,37.195793828739085,35.040027850239625,0.02453698410849007,4657.0,56899.000000000015,0.0,133.05714285714288,32,0.0014725571778661018,1.2795820938038642,721,4.325677200049404,114.92428595583414,35.0,114.92428595583414,0.005026788720568259,0.008094653422036571,72.0,1.7173160449867804,34.89699955306985,34.54285714285714,0.0,9.0,371.0,0.0005771230057799657,72.84826921688249,7,0,7,4.664102564102564,13.0,0.09128205128205129,0.021419270833333337,0.0006275947039053876,0.000306510602188343,40900.000000000015,39600.999999999985,17.685714285714287,17.685714285714287,16.857142857142858,6180.0,80501.0000000001,3077.9999999999995,3102.0,87.94285714285712,88.6285714285714,1.5187500715255737,423089,128.0,3.470896,0.015856644,0.05,2133632,3.5617363,1.0,-0.021569561,10.0,0.13420475,1.8670583,187520,0.001,38.946373,3485.181540397909,187520,4903.501933362546,0,423089,4903.501933362546,2133632,85442560,6822505,126451.5447796518,3485.1700772343706,0.00011826643421570602,0.00017694706388137702,2.64492398019289e-05,2.4934715605626177e-05,4.8445435567085954e-05,0.00023587911325166877,0.45379917599520664,7.52015485693644e-06,1.634976657439306e-05,3.431141122080115e-05,9.060511734312165e-05,0.0002874838652489204,4.587982426923028e-05,3.072892517100816e-06,1.552508733795985e-05,8.782419103590142e-06,5.320931887458088e-05,3.5487241372020706e-05,6.678840427106245e-05,8.886242697221584e-06,0.0029913738521441255,0.14068005862302638,0.01697571130456803,1.402731798796597e-05,0.00839410957461363,0.1667766884751249,0.0018717294879265543,8.342412095065878e-05,0.11507642630777036
